slot,time,bl,rS8,n_r,fS8,n_f,d_r,d_f,d_f_r
32,16:00,0.718278586257891,0.8410911684077943,4499,0.8442369993361363,4519,0.12281258214990332,0.1259584130782453,0.003145830928341975
33,16:30,0.7219805864327372,0.8436917196488041,4404,0.8406499457111836,4605,0.12171113321606686,0.11866935927844635,-0.0030417739376205066
34,17:00,0.7218687609892152,0.8455760296086305,4233,0.8421541333924875,4508,0.12370726861941539,0.1202853724032723,-0.0034218962161430833
35,17:30,0.7168574439865737,0.8583792763967512,4063,0.8425585683297181,4610,0.14152183241017746,0.1257011243431444,-0.015820708067033062
36,18:00,0.7072631368020081,0.846086669788496,4271,0.8216141869673177,4967,0.13882353298648786,0.11435105016530955,-0.02447248282117831
37,18:30,0.7072812697786482,0.8501361630014975,4229,0.831709473098072,4789,0.14285489322284928,0.12442820331942372,-0.018426689903425553
38,19:00,0.7257468310920705,0.8682180807585418,4078,0.845091960352423,4540,0.1424712496664713,0.11934512926035246,-0.023126120406118833
39,19:30,0.7501521992217134,0.885717294246483,3957,0.8678251225776324,4283,0.13556509502476966,0.11767292335591906,-0.0178921716688506
40,20:00,0.7703836444939705,0.8964245810055865,3759,0.8684391923990499,4210,0.12604093651161608,0.09805554790507942,-0.027985388606536654
41,20:30,0.7843384404112097,0.9075150519978105,3654,0.8767080795777508,4105,0.12317661158660076,0.09236963916654106,-0.030806972420059697
42,21:00,0.7892982161477797,0.9099840740740741,3600,0.8794833706560504,4019,0.12068585792629438,0.09018515450827069,-0.03050070341802369
43,21:30,0.7928987530883911,0.9206220419202163,3451,0.878545522574208,4009,0.12772328883182527,0.08564676948581695,-0.04207651934600831
44,22:00,0.7939233238433003,0.9218199344515134,3458,0.8851192760942761,3960,0.1278966106082131,0.09119595225097576,-0.03670065835723735
