day,window,type,q,dev
2025-09-23,morning_peak,baseline,1,0.09125967865782723
2025-09-23,morning_peak,commercial,1,0.010565079182546983
2025-09-23,morning_peak,baseline,2,0.03482799200994923
2025-09-23,morning_peak,commercial,2,0.029342012580740155
2025-09-23,morning_peak,baseline,3,0.010035710939287295
2025-09-23,morning_peak,commercial,3,0.035525344742824046
2025-09-23,morning_peak,baseline,4,-0.0034940935259415037
2025-09-23,morning_peak,commercial,4,0.03415307224814182
2025-09-23,morning_peak,baseline,5,-0.000645047531432076
2025-09-23,morning_peak,commercial,5,0.022398731795437176
2025-09-23,mid_morning,baseline,1,0.03240305685358255
2025-09-23,mid_morning,commercial,1,0.00576432145217192
2025-09-23,mid_morning,baseline,2,0.00638965071285348
2025-09-23,mid_morning,commercial,2,0.0051063355964078745
2025-09-23,mid_morning,baseline,3,-0.006281956620280387
2025-09-23,mid_morning,commercial,3,0.0034739674769268354
2025-09-23,mid_morning,baseline,4,-0.0034433901801461326
2025-09-23,mid_morning,commercial,4,0.00839002666873628
2025-09-23,mid_morning,baseline,5,-0.003090767487963749
2025-09-23,mid_morning,commercial,5,0.0032591944421967787
2025-09-23,lunch,baseline,1,0.021411359005109
2025-09-23,lunch,commercial,1,0.005045550014300014
2025-09-23,lunch,baseline,2,-0.01437484481234481
2025-09-23,lunch,commercial,2,-0.01655103398853399
2025-09-23,lunch,baseline,3,-0.027854427208593876
2025-09-23,lunch,commercial,3,-0.014091855925189259
2025-09-23,lunch,baseline,4,-0.019822252311835646
2025-09-23,lunch,commercial,4,-0.029469593782093777
2025-09-23,lunch,baseline,5,-0.002565520065520065
2025-09-23,lunch,commercial,5,0.011861248288331619
2025-09-23,afternoon,baseline,1,0.07670661758275395
2025-09-23,afternoon,commercial,1,0.010334949255056576
2025-09-23,afternoon,baseline,2,0.0330026196253725
2025-09-23,afternoon,commercial,2,0.01939022292160798
2025-09-23,afternoon,baseline,3,0.014191490619108437
2025-09-23,afternoon,commercial,3,0.0229546291811105
2025-09-23,afternoon,baseline,4,0.005638887087210361
2025-09-23,afternoon,commercial,4,0.019622627242595635
2025-09-23,afternoon,baseline,5,-0.0007495408631772266
2025-09-23,afternoon,commercial,5,0.05650022738204557
2025-09-23,evening_peak,baseline,1,0.12390405080675915
2025-09-23,evening_peak,commercial,1,0.016389956007594894
2025-09-23,evening_peak,baseline,2,0.06738498344969089
2025-09-23,evening_peak,commercial,2,0.03204575052209679
2025-09-23,evening_peak,baseline,3,0.04261206653081653
2025-09-23,evening_peak,commercial,3,0.043485699528893966
2025-09-23,evening_peak,baseline,4,4.658102209997549e-05
2025-09-23,evening_peak,commercial,4,0.06209091687876848
2025-09-23,evening_peak,baseline,5,0.0
2025-09-23,evening_peak,commercial,5,0.07998347617458729
2025-09-23,late_evening,baseline,1,0.06533360447364928
2025-09-23,late_evening,commercial,1,0.005851480770324858
2025-09-23,late_evening,baseline,2,0.026024124722526305
2025-09-23,late_evening,commercial,2,0.012056314807212797
2025-09-23,late_evening,baseline,3,0.0
2025-09-23,late_evening,commercial,3,0.012988758415353397
2025-09-23,late_evening,baseline,4,0.0
2025-09-23,late_evening,commercial,4,0.025811738705300128
2025-09-23,late_evening,baseline,5,-9.318996415770633e-05
2025-09-23,late_evening,commercial,5,0.034581717348428825
2025-09-24,morning_peak,baseline,1,0.15813099466476255
2025-09-24,morning_peak,commercial,1,0.02198150240398117
2025-09-24,morning_peak,baseline,2,0.07439995772396808
2025-09-24,morning_peak,commercial,2,0.03955572413255065
2025-09-24,morning_peak,baseline,3,0.03004592931755741
2025-09-24,morning_peak,commercial,3,0.05083866613096642
2025-09-24,morning_peak,baseline,4,-0.02025228965302026
2025-09-24,morning_peak,commercial,4,0.06179630768989022
2025-09-24,morning_peak,baseline,5,-0.006400389242745932
2025-09-24,morning_peak,commercial,5,0.061802113242678536
2025-09-24,mid_morning,baseline,1,0.11911984943590928
2025-09-24,mid_morning,commercial,1,0.007438032589437407
2025-09-24,mid_morning,baseline,2,0.06190910345295738
2025-09-24,mid_morning,commercial,2,0.030491309129411188
2025-09-24,mid_morning,baseline,3,0.02677053237706907
2025-09-24,mid_morning,commercial,3,0.03906973562923725
2025-09-24,mid_morning,baseline,4,-0.008965518891680013
2025-09-24,mid_morning,commercial,4,0.05084930712935658
2025-09-24,mid_morning,baseline,5,-0.004012614678899083
2025-09-24,mid_morning,commercial,5,0.06697296721791418
2025-09-24,lunch,baseline,1,0.112807649538158
2025-09-24,lunch,commercial,1,0.012487565577078289
2025-09-24,lunch,baseline,2,0.05900384997739271
