group,n_roads,mean,median,std,IQR,Faster%,Slower%,Neutral%,Q1,Q3
S3 (pre) × Night (00-06),38686,-0.0007446857783478267,0.0,0.06832634973822328,0.0,8.481104275448482,7.584138965000259,83.93475675955125,0.0,0.0
S3 (pre) × Morning pk (06-10),41221,0.015242134532868323,0.0,0.1254819921998205,0.04642857142857143,28.44666553455763,19.11404381261978,52.43929065282259,0.0,0.04642857142857143
S3 (pre) × Midday (10-16),54712,8.018002492706373e-05,0.0,0.1377719794886948,0.08399999999999996,29.19286445386752,25.870010235414536,44.93712531071794,-0.03400000000000003,0.04999999999999993
S3 (pre) × Evening (20-24),17294,0.0013161823105300612,0.0,0.09737313853332073,0.0,19.359315369492307,16.884468601827223,63.75621602868047,0.0,0.0
S8 × Night (00-06),11934,0.0043331501166468485,0.0,0.05691406015543843,0.0,7.27333668510139,3.309870956929781,89.41679235796883,0.0,0.0
S8 × Midday (10-16),15045,0.02705320761700788,0.0,0.13514807364136575,0.07666666666666666,33.70555001661681,17.121967431040215,49.17248255234297,0.0,0.07666666666666666
S8 × PM pk (16-20),33734,0.039199980941386124,0.0,0.12841226914658743,0.08000000000000007,34.22956068061896,11.285350091895417,54.48508922748563,0.0,0.08000000000000007
S8 × Evening (20-24),27723,0.01338151621903155,0.0,0.08042022742097751,0.0,18.417920138513146,7.0302636799769145,74.55181618150993,0.0,0.0
S10 × Night (00-06),22329,0.002202697496860916,0.0,0.04278429754085738,0.0,4.035111290250347,2.015316404675534,93.94957230507411,0.0,0.0
S10 × Morning pk (06-10),33910,0.03256928156498027,0.0,0.12645035721920325,0.05999999999999994,30.693010911235625,12.253022707166028,57.05396638159835,0.0,0.05999999999999994
S10 × Midday (10-16),31549,0.03266929017866052,0.0,0.1153982344912726,0.06699999999999995,32.9836127927985,12.133506608767314,54.882880598434184,0.0,0.06699999999999995
S8 (2nd) × Midday (10-16),22598,0.030281035253389006,0.0,0.13154627198582278,0.07499999999999996,33.56049207894504,14.81104522524117,51.628462695813795,0.0,0.07499999999999996
S8 (2nd) × PM pk (16-20),36821,0.036068297207971244,0.0,0.13701086192394152,0.08499999999999996,35.596534586241546,14.703565899894084,49.69989951386437,0.0,0.08499999999999996
S8 (2nd) × Evening (20-24),4210,0.013387367724867724,0.0,0.10817486559443026,0.030000000000000027,25.24940617577197,13.990498812351543,60.76009501187648,0.0,0.030000000000000027
S3 (after) × Night (00-06),36852,0.0016215808285336396,0.0,0.05669425404603034,0.0,6.808314338434821,4.43395202431347,88.75773363725172,0.0,0.0
S3 (after) × Morning pk (06-10),26946,0.001746160346854791,0.0,0.11659505914316873,0.045714285714285596,24.22623023825429,22.689824092629703,53.083945669116005,-0.019999999999999907,0.02571428571428569
S3 (after) × Evening (20-24),27017,0.007067478621142518,0.0,0.09558948016967321,0.0,19.461820335344413,12.444016730206906,68.09416293444868,0.0,0.0
