variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.5352983420737886,0.07583004030620989,0.5854945864162499,1.674810381343765e-12,0.5046323063845793,0.6793142380810738
intersection_degree,0.009157512056018913,0.07536075990107335,1.0091995703546404,0.9032826161598978,0.870620087162292,1.1698372089296112
dist_to_coast_m,0.016138287976134463,0.07651063759832774,1.0162692135019409,0.8329429223074107,0.8747452641318483,1.1806901467901876
work_density,0.055953865011134606,0.11276895172215703,1.0575488926047458,0.6197663784795767,0.8478315724049423,1.3191413208133607
education_density,-0.06317734828256416,0.09416870175261736,0.9387769684417959,0.5022871706822856,0.7805566158619399,1.1290688959231727
retail_density,0.12694737204551665,0.23260886945452924,1.1353572646787107,0.5852346006012966,0.7196674763281621,1.7911551665993786
food_drink_density,0.16132462231953448,0.19874198849239225,1.1750663596738138,0.4169471884009792,0.7959573498803603,1.7347423826724042
recreation_density,0.2799866577320586,0.09680343751575575,1.3231121589027282,0.0038240648392408134,1.0944499630340225,1.599548489346349
medical_density,0.03741012334784906,0.14819928302259783,1.0381186902564197,0.8007077841085428,0.7764209291618207,1.3880233963078723
transport_density,0.21619467328159936,0.13824674896779032,1.2413440119925732,0.1178570554678429,0.9467038541674645,1.6276842534510674
tourism_density,-1.1213207833222747,0.4032624175378587,0.32584913417907824,0.005425468992567409,0.14782662838689983,0.718257998601991
finance_density,-0.1812620202084104,0.16315640556387132,0.834216748410606,0.2665808713534332,0.6058950000839011,1.148577861234038
civic_density,0.07639410858264915,0.09198834724167256,1.0793878863722086,0.40626974903769963,0.9013126736368052,1.2926459854891001
log_incident_count_500m,1.0761836356585182,0.8173976736790527,2.9334629978703193,0.18797361746774033,0.5910138631453478,14.56007328504585
log_severe_incident_500m,-0.8382704094962812,0.8089080836940422,0.43245785195061337,0.30006280441883126,0.08859053517571934,2.1110584030538346
road_highway,-0.07792837107471735,0.07348307563546076,0.9250306831242527,0.28891985467315506,0.8009512466911982,1.068331896924089
road_local,-0.10391382749276964,0.07292139241463927,0.9013029616108739,0.15415385823022135,0.7812658761816736,1.0397830666542913
