variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.5829543873090615,0.04994041903268529,0.5582466510419506,1.751414596311571e-31,0.5061928232778689,0.6156533816135958
intersection_degree,0.07189887311298479,0.051788529273910484,1.0745466730091295,0.16504066997382172,0.9708273389534718,1.1893469684523659
dist_to_coast_m,0.06445441470547157,0.05032864031415946,1.0665769569117303,0.20030935761064017,0.9663881437859269,1.1771526920420123
work_density,0.1068613684440909,0.07511501733787604,1.1127799773660878,0.1548415454002657,0.960439712493688,1.2892837123652452
education_density,-0.10546465717753861,0.06447462309405784,0.8999062775125448,0.10189097063744122,0.7930770348934619,1.021125656999101
retail_density,0.24116688009013748,0.1503245165980556,1.2727334114534854,0.10864609721336511,0.9479351630795495,1.7088197586928118
food_drink_density,-0.24679020978231433,0.13547014255988382,0.7813045863984746,0.06849575409381903,0.599109022928865,1.018907800358352
recreation_density,0.25371159394139475,0.06609645694255542,1.288800052919118,0.00012378559151082994,1.132199881926903,1.4670603688612278
medical_density,0.14111509793324212,0.09668470561619177,1.1515571822090727,0.144416816379134,0.9527650670540486,1.3918267889455196
transport_density,0.2188628154742518,0.09007184391198778,1.2446605168122764,0.01510426519781533,1.0432303463120305,1.4849834531635095
tourism_density,-0.9277705939835285,0.24463087935372105,0.3954343120319103,0.00014911864478877397,0.24481630687358605,0.6387168286665352
finance_density,-0.09417600556617642,0.10235816434095667,0.9101225615063422,0.35753960425661147,0.7446819923225079,1.1123178558131888
civic_density,0.08255570751605842,0.06279945860634324,1.0860591734127325,0.1886468373075968,0.9602791732258444,1.2283141830428306
log_incident_count_500m,0.4649215389824884,0.5047332949843457,1.5918892827341442,0.35698611810598757,0.5919366149410319,4.281052100039924
log_severe_incident_500m,-0.2976693543499568,0.5014468786567771,0.7425468190378764,0.552765689773131,0.27789686133632296,1.9841022162390303
road_highway,-0.07701421235641595,0.05090448466578424,0.9258766946234043,0.13030098203489338,0.8379582486946244,1.0230195298896878
road_local,-0.07922415428031351,0.049188314944604454,0.9238328201533658,0.107260485993521,0.8389256015701787,1.017333453640139
