variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.18526228164418398,0.04475818626064657,0.8308863290380916,3.485462727438055e-05,0.7611016721337723,0.9070694718708422
intersection_degree,0.1794566971412998,0.05054759120708724,1.1965670881700563,0.0003848622575424846,1.0837024994795523,1.3211862085575843
dist_to_coast_m,0.13706439928013642,0.047654882879674496,1.1469020058057555,0.0040250997839247305,1.044627987105814,1.2591891344645985
work_density,-0.12515742572905852,0.06368693768997905,0.882357985801139,0.04939135596698282,0.7788133813651854,0.9996690269269762
education_density,0.00272800690205034,0.062165451925456604,1.0027317312988357,0.9649976614697938,0.8877045734741552,1.1326639008048707
retail_density,0.04327945805750083,0.12810680482295952,1.0442296724747642,0.7354846169722415,0.8123614686846228,1.3422788388060258
food_drink_density,0.04092840912061944,0.11664668638269342,1.0417775211068736,0.7256821081402551,0.828864078071993,1.30938284357561
recreation_density,0.09073201560717804,0.06375650457529956,1.094975529584321,0.15470655943215267,0.9663485100732978,1.2407236083983013
medical_density,-0.013026660219999585,0.08759704693763846,0.9870578194908803,0.8817815389261893,0.8313396258791748,1.1719435820080728
transport_density,0.09365358744412437,0.08372417203475875,1.098179256934694,0.2633122069817878,0.9319782609365078,1.2940191106494021
tourism_density,0.056700781258501774,0.06613010366057509,1.0583390881232166,0.39121692212192194,0.9296805728237109,1.2048026582371916
finance_density,-0.042646687938795,0.0975647648269548,0.9582498915095069,0.6620304338251595,0.7914618289819835,1.1601859002588542
civic_density,-0.10543342192110548,0.061341476755768835,0.899934386754886,0.08565171110310377,0.7979872043081815,1.0149058732915692
log_incident_count_500m,-0.23478182125665653,0.5066598002591675,0.7907433542009626,0.6430838035820181,0.29292606790786674,2.1345831618156126
log_severe_incident_500m,0.25458852204127896,0.5042848112198148,1.2899307335910235,0.6136637277740443,0.4800765503261766,3.4659499538816556
road_highway,0.03248735138610474,0.04731329832620267,1.0330208267797534,0.49230764069588284,0.941532216376084,1.1333993781626182
road_local,-0.0669397759352077,0.046972396121894,0.9352515242891568,0.1541319010253023,0.852991520502503,1.025444441897737
