variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.008107783155514523,0.08170482591779678,1.0081407402387788,0.9209535833011374,,0.8589593542451867,1.1832314848265573
dist_to_coast_m,0.08599731983765362,0.0995629116636257,1.089803407451157,0.3877260409898049,,0.896599516049293,1.3246398705694336
work_density,0.011853491143630051,0.12047740453787445,1.0119240221739292,0.9216244649357831,,0.799089582082237,1.2814460976757929
education_density,-0.19066640226408613,0.12154917610789555,0.8264082300863722,0.11673280043803821,,0.6512232331845302,1.0487195909992508
retail_density,0.44214793646238937,0.27042935359952575,1.5560459193363836,0.10205219231441916,,0.9158583219850603,2.643726485812188
food_drink_density,0.023887681393991764,0.2392444800919603,1.024175277490678,0.9204663321367416,,0.6408040906506818,1.6369043430387646
recreation_density,0.07577881039037485,0.10345904534304214,1.0787239452387976,0.4638925782442639,,0.8807328636595142,1.3212239466079627
medical_density,0.0009322246520663475,0.1662187701182446,1.0009326593085226,0.9955251518391162,,0.7226309969450919,1.3864146330641784
transport_density,0.12177707134578557,0.16149333064043783,1.1295022752895287,0.4508079505354685,,0.8230405103701588,1.5500760579943367
tourism_density,-1.3251916595490447,0.376340608403296,0.2657520202952619,0.0004295075975103667,***,0.12709515107081104,0.5556792347779268
finance_density,-0.26115479455340074,0.17794983485414015,0.7701616935521449,0.1422196026518039,,0.5433853887803387,1.0915807573451077
civic_density,0.1600599086438352,0.10993716568915035,1.1735811765425512,0.14541425738907734,,0.9460906063756881,1.4557725958311465
log_population_density_1000m,-0.17430501429448095,0.1478099579045979,0.8400406341770369,0.23829831454883676,,0.6287556749852227,1.1223250861078005
median_income_1000m,-0.029080102989480567,0.21383769714860873,0.9713386542202287,0.8918280234857646,,0.6387756450903379,1.4770425084834475
working_pop_ratio_1000m,0.9396522571911722,0.47206856814162446,2.5590913579653294,0.04653593707304767,*,1.0145020121104242,6.4553332573380935
ratio_学生_1000m,-0.012978528423463417,0.21563560911936036,0.9871053295003793,0.9520064482224068,,0.6468606914326755,1.5063164981782857
ratio_雇员_1000m,-0.4206780586049886,0.30718455981959397,0.6566014545739314,0.17085442026883524,,0.35960114372158597,1.1988990515625078
ratio_退休人士_1000m,1.171261869009894,0.48082300684477525,3.226060937479516,0.014852646421225338,*,1.2571519125832602,8.278609027404979
ratio_age_25_44_1000m,0.05499155231770755,0.15099365160338205,1.0565316893937515,0.7157103265592553,,0.7858762003888217,1.420400834305622
ratio_age_65plus_1000m,-1.0825633075115684,0.4322592725071538,0.3387261525944151,0.012264869766487736,*,0.1451784677057549,0.7903059473251818
log_school_count_1000m,0.5276347960846277,0.1571967568414016,1.694918735600619,0.0007892867229666583,***,1.2454901567968246,2.3065212555980317
log_higher_ed_count_1000m,0.001219282141070354,0.09286035770724148,1.0012200257677397,0.9895238563950014,,0.8346130965287445,1.2010853222500668
log_elderly_facility_count_1000m,-0.15568625770459968,0.08826566299227995,0.8558276575878145,0.07775939657805157,.,0.7198683310986914,1.0174652055805333
log_incident_count_500m,0.2586518989150866,0.09152845097910993,1.2951828717846317,0.004714532838223061,**,1.082481547972165,1.549678767741379
road_highway,-0.07764595328593152,0.08087756780895168,0.9252919651379474,0.33703350891655814,,0.7896495921258205,1.0842343607674851
road_local,-0.08268960348052926,0.07893443157624588,0.9206368653535758,0.2948352412968438,,0.7886748954540745,1.0746788603687885
