variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.22710417249880505,0.07848945984354959,0.7968377693848048,0.003810528079067691,0.6832164808380885,0.9293546753135549
intersection_degree,0.09348847383995504,0.07898645462499512,1.0979979475682908,0.23657090819169213,0.940517543325181,1.2818468952761966
dist_to_coast_m,0.09232440258363553,0.091914292744738,1.096720543357038,0.31515604011636156,0.9159187572535942,1.3132124882210854
log_population_density_500m,0.1705461114059995,0.09375487397816681,1.185952336602715,0.06890167416036751,0.986873472694704,1.4251907499884178
median_income_500m,0.07992686029441594,0.1561765707081472,1.083207839275172,0.6088103004094867,0.7975751487990248,1.4711331274977428
working_pop_ratio_500m,0.12687049669560255,0.4266983474193927,1.135269987046503,0.7662140843467751,0.4919106108570916,2.620065343260092
ratio_学生_500m,-0.08039777186891726,0.2045539397664743,0.922749229691493,0.6942903303021875,0.6179649775191933,1.3778550109982535
ratio_雇员_500m,-0.06483081517136381,0.35575105216701197,0.93722601438745,0.8553971549553738,0.4666840151489481,1.882199890142444
ratio_退休人士_500m,0.7494057778838168,0.3851134936970333,2.1157424220650944,0.051662563141498974,0.9945979739413228,4.500678780580304
ratio_age_25_44_500m,0.07493829363583741,0.13115877505356455,1.0778176406247661,0.5677586557321319,0.8334905576004882,1.3937660791098774
ratio_age_65plus_500m,-0.773312622027084,0.3611044440194503,0.4614818186482531,0.03223207540478299,0.22739257900406798,0.9365541737362032
log_incident_count_500m,0.29995731085763305,0.08830394666090471,1.34980118449114,0.0006816054027487936,1.135282564439337,1.604854416621352
road_highway,-0.06586604907299014,0.08325412885835798,0.9362562682874965,0.42885965340232457,0.7952934271777983,1.1022042556270977
road_local,-0.10540615605285379,0.08236004661274152,0.8999589245818316,0.20060793062138815,0.7658018321979254,1.0576183444350356
