variable,coef,se,OR,p,ci_95_low,ci_95_high,sig
const,-0.22594701038668,0.07824750867827097,0.7977603735593957,0.003882010050800595,0.6843319805686406,0.929989583553872,**
intersection_degree,0.0733874774011745,0.07823270943664316,1.0761474389523542,0.3482102792338866,0.9231637652345006,1.2544830657099435,
dist_to_coast_m,0.16078306507972898,0.08718719747875119,1.1744301662626033,0.0651666390212104,0.9899470303532423,1.3932929471341875,.
log_population_density_500m,0.17910516674452281,0.09390745818621957,1.1961465323901825,0.05648799121068689,0.9950587968076113,1.4378713414114843,.
log_median_income_500m,0.3037853079151161,0.17019067698076681,1.3549781217822052,0.0742661304793658,0.9706508831400585,1.8914789471669544,.
working_pop_ratio_500m,-0.09088018071204704,0.1992991980453691,0.9131271145854792,0.6483908932245311,0.6178518291791227,1.34951632092599,
ratio_age_0_14_500m,-0.22846757486040242,0.16908246305403116,0.7957520991590666,0.17662502820315484,0.571283781483351,1.108418309499156,
ratio_age_65plus_500m,-0.16686270011901116,0.18576358103780735,0.846315802419446,0.36905066567374745,0.5880405805329316,1.2180289271460563,
log_incident_count_500m,0.32114050332309224,0.08652533477172436,1.378699279116074,0.00020601845384870805,1.1636374679781958,1.6335085063373016,***
road_highway,-0.06750432327220592,0.08280783942338421,0.9347236795423882,0.4149621742568971,0.7946864151121673,1.0994378920821748,
road_local,-0.10931971156810087,0.08185517561566066,0.8964437682352777,0.18170426631134518,0.7635658917850393,1.0524454251475375,
