variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.5352983420737887,0.0758300403062099,0.5854945864162499,1.674810381343765e-12,0.5046323063845792,0.6793142380810738
intersection_degree,0.009157512056018897,0.07536075990107335,1.0091995703546404,0.903282616159898,0.8706200871622919,1.1698372089296112
dist_to_coast_m,0.016138287976134476,0.07651063759832774,1.0162692135019409,0.8329429223074105,0.8747452641318483,1.1806901467901876
log_incident_count_500m,1.0761836356585188,0.8173976736790564,2.9334629978703215,0.187973617467742,0.5910138631453439,14.560073285045965
log_severe_incident_500m,-0.8382704094962817,0.8089080836940461,0.43245785195061315,0.30006280441883326,0.08859053517571863,2.1110584030538493
work_density,0.0559538650111347,0.11276895172215706,1.0575488926047458,0.6197663784795762,0.8478315724049423,1.3191413208133609
education_density,-0.06317734828256419,0.09416870175261738,0.9387769684417958,0.5022871706822853,0.7805566158619399,1.1290688959231727
retail_density,0.12694737204551665,0.23260886945452905,1.1353572646787107,0.5852346006012963,0.7196674763281624,1.7911551665993783
food_drink_density,0.16132462231953448,0.19874198849239225,1.1750663596738138,0.4169471884009792,0.7959573498803603,1.7347423826724042
recreation_density,0.27998665773205866,0.09680343751575575,1.3231121589027282,0.003824064839240806,1.0944499630340225,1.5995484893463492
medical_density,0.03741012334784912,0.1481992830225979,1.03811869025642,0.8007077841085426,0.7764209291618207,1.3880233963078725
transport_density,0.2161946732815993,0.13824674896779038,1.2413440119925732,0.1178570554678431,0.9467038541674644,1.6276842534510674
tourism_density,-1.121320783322275,0.40326241753785885,0.3258491341790782,0.005425468992567425,0.14782662838689975,0.7182579986019911
finance_density,-0.18126202020841042,0.16315640556387132,0.834216748410606,0.2665808713534332,0.605895000083901,1.148577861234038
civic_density,0.07639410858264915,0.09198834724167256,1.0793878863722086,0.40626974903769963,0.9013126736368052,1.2926459854891001
road_highway,-0.07792837107471733,0.07348307563546078,0.9250306831242529,0.2889198546731555,0.8009512466911982,1.068331896924089
road_local,-0.10391382749276962,0.07292139241463928,0.901302961610874,0.15415385823022149,0.7812658761816736,1.0397830666542913
