variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.22963949257529817,0.07914642575884852,0.7948200894034361,0.0037143861928367796,0.680609548784725,0.9281958733128257
intersection_degree,0.05717521689223299,0.08480911972509378,1.0588413210283656,0.5002073428691096,0.8966849922865143,1.250321966756927
dist_to_coast_m,0.1554492803827478,0.10026415770088322,1.1681826847860106,0.12104618382637639,0.9597634139342782,1.4218616434229896
work_density,0.07942385162342054,0.11468673668352658,1.0826631133519433,0.48860539645464873,0.8647090800370854,1.3555534966310883
education_density,0.09020913951945599,0.10427728066043451,1.0944031427200036,0.3869898834715968,0.8921024215974994,1.3425792933625837
retail_density,0.4447094609730229,0.2804300725081912,1.560036878385956,0.11278189247474714,0.9003844131363119,2.7029733371847593
food_drink_density,0.09442778617547115,0.21857102921858848,1.0990297951225139,0.6657244493804355,0.716074239393365,1.6867894753347088
recreation_density,0.0439431340120796,0.1089244689357006,1.0449229326240426,0.6866337068447799,0.8440455428646568,1.2936078442140537
medical_density,0.07145461178339844,0.1719639984197853,1.0740693995004076,0.6777607189903772,0.7667497323033889,1.5045653442585065
transport_density,0.009977387180611287,0.14199641380529496,1.0100273272604037,0.9439826882123351,0.7646511334493635,1.3341446277740343
tourism_density,-0.44806639823056343,0.21093941940273409,0.6388622632997442,0.03365782834089198,0.4225245783531848,0.9659674546253416
finance_density,-0.23484632349120813,0.16412133712684235,0.7906923511325835,0.1524499662196533,0.573197958705625,1.0907128761438094
civic_density,-0.010446921517508109,0.10275458039662229,0.989607458036036,0.9190196710299889,0.8090893693643704,1.2104014192769728
log_population_density_500m,0.15029422237918058,0.11006633932738268,1.1621761306564655,0.17209984537473533,0.9366591758173216,1.4419902068317052
median_income_500m,0.11805973893515109,0.16614057408361016,1.1253113342602326,0.477331221597472,0.8125516591811742,1.5584554959750474
working_pop_ratio_500m,0.29518665769604774,0.45928035406767814,1.343377086957343,0.520408643451256,0.546072877823787,3.3048006430093118
ratio_学生_500m,0.010271198219537704,0.21685126462873225,1.0103241280383075,0.9622221837312259,0.6605005776517426,1.5454261180594642
ratio_雇员_500m,-0.1639953571855719,0.37115537456811953,0.8487459624410593,0.658597062163101,0.4100566773744342,1.7567564400425808
ratio_退休人士_500m,0.7880792482389115,0.4149583000477062,2.1991683105700486,0.05754121127590542,0.9750768214527245,4.959959207121822
ratio_age_25_44_500m,0.11674175514179229,0.13544223129963306,1.1238291691085724,0.38872590622361525,0.8618060632970237,1.4655176554541958
ratio_age_65plus_500m,-0.6859386011342042,0.3934043746873643,0.5036173118888625,0.08122942510639307,0.23293142651833545,1.0888629354364898
log_incident_count_500m,0.3191667340004901,0.09727202456127847,1.375980728552283,0.001033748339959842,1.1371368474262908,1.6649913065718298
road_highway,-0.07369737559395495,0.08489838860808208,0.9289527750899246,0.38535838973310355,0.786550604422871,1.0971363488817878
road_local,-0.1101900956928861,0.08399057475460103,0.8956638572709404,0.18954238436464432,0.759715223219448,1.0559400689931095
