variable,coef,se,OR,p,ci_95_low,ci_95_high,sig
const,-0.2294880925183298,0.07898530262910251,0.7949404343201351,0.0036672180118754614,0.6809276048051515,0.9280432892684867,**
intersection_degree,0.04008589895139019,0.08439756818355917,1.0409001825864757,0.6348118528691604,0.8822027847771281,1.2281452845133303,
dist_to_coast_m,0.1935511796021499,0.09782538708987454,1.2135514940448215,0.04786812230392902,1.001815066148042,1.4700390106538794,*
work_density,0.042841882558794765,0.11273052084170365,1.043772843111025,0.7039172018715311,0.8368504165267476,1.3018595993986106,
education_density,0.05744541987570092,0.10230913872085957,1.0591274617686266,0.5744644676153106,0.8666843049198405,1.2943017127513392,
retail_density,0.4325776329684086,0.27469890609392017,1.5412251205295164,0.11531791873974521,0.8995755635267015,2.6405506868581314,
food_drink_density,0.10979845700041312,0.21586007884678904,1.1160531150980286,0.6109935873173802,0.7310398564441412,1.7038394620214359,
recreation_density,0.07316786820975969,0.10710731866289519,1.0759111330318685,0.49452679072206396,0.8721773642650221,1.327235506917114,
medical_density,0.05266620968261079,0.16886113326171312,1.0540777454470658,0.7551236237330238,0.7570684465182127,1.4676082440850218,
transport_density,0.032435437459531584,0.14162906540012316,1.0329672000044037,0.8188558469892646,0.7825812479399855,1.3634638436503468,
tourism_density,-0.4953849642655968,0.2053295646846322,0.6093362894422952,0.015837740868956694,0.40745250263421356,0.911249068862947,*
finance_density,-0.22639193517544104,0.1634551626076251,0.7974055091435495,0.16604024274625984,0.5788198128589771,1.0985379765626686,
civic_density,0.0032622383669722666,0.09990264306800763,1.0032675652575076,0.9739503676182457,0.824855596885143,1.220269112919511,
log_population_density_500m,0.10501455137046727,0.11495421541814227,1.1107267728348713,0.3609619104662758,0.8866582034962543,1.3914200071994027,
log_median_income_500m,0.3609082688363478,0.18005117210568644,1.434631854393024,0.04501908603876931,1.0080401210733472,2.041752619377548,*
working_pop_ratio_500m,-0.07739562467584309,0.20673868431147885,0.9255236211833646,0.708133148994456,0.617174517922271,1.3879282901246588,
ratio_age_0_14_500m,-0.22283089393134406,0.175057988497904,0.8002501650122237,0.20305437998371612,0.5678235548516801,1.1278157116419179,
ratio_age_65plus_500m,-0.1488589171681418,0.19599490486676185,0.8616906760844263,0.4475511132008624,0.5868365599561733,1.2652770326823002,
log_incident_count_500m,0.33487313087695153,0.09569792781695581,1.3977630410017106,0.00046652946045530895,1.1587075377559952,1.6861386114515597,***
road_highway,-0.07714941996245812,0.08459355162069043,0.9257515175146733,0.36176808976802366,0.7843085470534704,1.0927024516058135,
road_local,-0.11308365779631863,0.08347018962139374,0.8930759442253366,0.1754879877399258,0.7582931478964204,1.0518157052672237,
