variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.53748499386953,0.07580642175084822,0.5842157123631605,1.3388893331501368e-12,0.5035533669413249,0.6777990596014921
intersection_degree,0.010361157661691009,0.07527283368845716,1.010415020321508,0.8905185902248748,0.8718188684060793,1.1710442963431902
dist_to_coast_m,0.01025795503511315,0.07631957108989686,1.010310748218147,0.8930800168297496,0.8699422887524237,1.1733281864351355
work_density,0.057681230567695134,0.1127070895043738,1.0593772447978933,0.6088050121961885,0.8494003365680969,1.3212617166247165
education_density,-0.0670685563503393,0.09409713069025985,0.9351310899645641,0.4759950346770757,0.7776342877314003,1.1245262319507714
retail_density,0.13690492282068462,0.23228570988482336,1.1467191165181871,0.5556053183334956,0.7273299386610518,1.8079342844170312
food_drink_density,0.1492692737812506,0.19837900696836147,1.1609855700967153,0.45178354840817947,0.7869791059688152,1.7127360609065607
recreation_density,0.2819891476971304,0.09675942340806801,1.3257643323126544,0.0035644985237376545,1.0967383928854169,1.6026165184280654
medical_density,0.03689438867737367,0.148299076422302,1.0375834344926276,0.8035281225149031,0.775868834252931,1.3875791061644254
transport_density,0.20621865328878436,0.13787086738004467,1.2290219042995019,0.13472202334784497,0.9379972640454112,1.6103403486844785
tourism_density,-1.1483285256096407,0.40289711728629796,0.3171664621907787,0.004369475950516657,0.14399065526703222,0.6986187023877414
finance_density,-0.16053329718502038,0.16124950060650042,0.8516894642381401,0.3194647486243376,0.6209018144199326,1.1682603056522225
civic_density,0.08314917889577363,0.09177513203753401,1.0867039097461875,0.3649306084295293,0.9078010068070226,1.300863711983839
log_incident_count_500m,0.2342949665852825,0.07462356036675596,1.2640172800859362,0.0016912576996207297,1.0920239270126813,1.4630995208379662
road_highway,-0.0814376653620063,0.07350260191698678,0.9217901675194657,0.2678807215209985,0.7981148535620544,1.0646301207693283
road_local,-0.10250533239806868,0.07282358006900119,0.9025733368597751,0.15925418106447686,0.7825170643470726,1.0410490269498704
