variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.042118560008748744,0.08609683863140946,1.0430181316592881,0.6247002201231228,,0.8810585085687598,1.2347498064995202
dist_to_coast_m,0.13326188397671332,0.1029737758717025,1.1425491744758673,0.19561907379932697,,0.9337311625338347,1.3980668831411984
work_density,0.052324459821264234,0.11642142952099067,1.0537175760711335,0.6531142039651295,,0.8387341047111477,1.3238053918215344
education_density,-0.02443808819355717,0.11720635612768728,0.9758581041862409,0.8348348328069088,,0.7755657265355412,1.2278766414290794
retail_density,0.46268242539005056,0.28229602112862806,1.5883288493984142,0.10121381539604722,,0.9133667548628916,2.762076154403051
food_drink_density,0.10946563403539765,0.22017067191756554,1.11568172879752,0.6190583467359118,,0.7246482727194931,1.7177239867022442
recreation_density,0.027292179842277508,0.11042389467474266,1.027668022783045,0.8047857317790954,,0.8276717389727037,1.2759908491760679
medical_density,-0.005985089556779618,0.1760636477248572,0.9940327854128446,0.9728820171494756,,0.7039345899823974,1.4036832292902763
transport_density,-0.050594564560563854,0.14823801263580016,0.9506640252957613,0.7328730211419457,,0.7109586066798629,1.2711880558167212
tourism_density,-0.4758497503485937,0.21396038293891584,0.6213568338819505,0.02614785977451906,*,0.40852094178812953,0.9450783926079266
finance_density,-0.18143370240751217,0.1671384674311388,0.8340735405381844,0.2776872969078781,,0.6010812882673331,1.1573786850548187
civic_density,0.06881473079980842,0.1148517720801362,1.0712377234060362,0.5490653634286471,,0.8553070578947078,1.3416822057715507
log_population_density_500m,0.09543256553250969,0.11361809956902517,1.100134632539386,0.4009411453411247,,0.8805056716913034,1.3745467503778757
median_income_500m,0.10230130363641947,0.16888152034287093,1.1077171806662096,0.5446755747871109,,0.7955620155947718,1.542352862869839
working_pop_ratio_500m,0.3376891927066709,0.46554215568590157,1.4017047756277834,0.4682265489434202,,0.5628323739210939,3.4908728940549283
ratio_学生_500m,0.0029963984753633125,0.21879437752954475,1.0030008921644482,0.9890732779465207,,0.653220469259339,1.5400784834917303
ratio_雇员_500m,-0.2309539001867597,0.37619932881291457,0.7937760581198261,0.5392723947175115,,0.37972628643376793,1.6593015889463543
ratio_退休人士_500m,0.8714092662022426,0.42330330106774205,2.3902770176714876,0.03953323172325526,*,1.0426179357493452,5.47988292288697
ratio_age_25_44_500m,0.17075651771460645,0.1386998150744948,1.1862018947094226,0.21827690417963985,,0.9038470550173411,1.5567622057309558
ratio_age_65plus_500m,-0.8043984919437234,0.4042057336938643,0.4473569344461406,0.04658301040712645,*,0.20257568078515206,0.9879183227788371
log_school_count_1000m,0.2780099322992816,0.13247826440294597,1.3204993127383369,0.035858139441507966,*,1.0185219768035028,1.7120086504317276
log_higher_ed_count_1000m,-0.05578950478005726,0.09494856693917933,0.9457381883078262,0.5568168844612498,,0.7851435623226984,1.1391811176261768
log_elderly_facility_count_1000m,-0.14960694978037195,0.09372539370583945,0.8610463443776701,0.11043825069645113,,0.7165489459802593,1.0346827126399467
log_incident_count_500m,0.3116980735568339,0.09871015497998945,1.3657422770649743,0.0015901349299830149,**,1.125498636380372,1.6572671943533508
road_highway,-0.07464778761693727,0.08615736108054796,0.9280703066244426,0.3862641632279581,,0.7838667652671724,1.0988021589924373
road_local,-0.09602246184063358,0.08462798672011136,0.9084436105239297,0.25652537897147376,,0.769593122745514,1.0723455928992889
