variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.052928370758158275,0.0853071595340126,1.0543541198282425,0.5349650838563823,,0.8920138122574076,1.2462392338808275
dist_to_coast_m,0.1484821281250803,0.10117116983895759,1.1600720649263179,0.14220399113704785,,0.9514069740013205,1.4145021348356686
work_density,0.08739997980676997,0.11514685768074598,1.0913331036359961,0.447834297135316,,0.8708479722776443,1.3676416332196017
education_density,-0.046102770530355996,0.1704503134978637,0.9549438170650477,0.7867938457147757,,0.6837346433250768,1.3337304210826693
retail_density,0.42001300771478983,0.28153274105123716,1.5219813529892294,0.13573066064986095,,0.8765240250848849,2.6427424378043676
food_drink_density,0.10661262932575781,0.21976469514535563,1.1125032198772529,0.6275899979602308,,0.7231589933686222,1.7114679145065546
recreation_density,0.022196664365317732,0.11141647442507481,1.0224448431654034,0.8420887292920806,,0.8218645935735421,1.2719777266107308
medical_density,0.08759209456482313,0.17553384517306478,1.0915427849719512,0.6177765513214865,,0.7737904008703893,1.539778278567577
transport_density,0.0017277489320217606,0.14262948626271035,1.0017292423501678,0.9903350245413657,,0.7574285691908161,1.3248265457579314
tourism_density,-0.4738760432374322,0.21217792972812352,0.6225844213340864,0.025523244273766996,*,0.4107605714281398,0.9436430579016993
finance_density,-0.2354779088307018,0.16477866128887472,0.7901931191059681,0.15298818350053983,,0.572098508394653,1.0914294589484979
civic_density,0.031834169975073885,0.11317570157632599,1.0323462970976,0.7784949128362746,,0.8269672339530411,1.288731685337419
log_population_density_500m,0.12210276694420312,0.1131932342121982,1.1298702091229558,0.28071665896176834,,0.9050582505438823,1.4105243377389165
median_income_500m,0.11467576386708057,0.16896717744738562,1.1215097446312976,0.4973364407912456,,0.8053326122911368,1.5618194123849227
working_pop_ratio_500m,0.3124639437606414,0.4679326779137776,1.3667886590262948,0.5042905980728691,,0.5462469560969845,3.419902330972842
ratio_学生_500m,0.005049460475996447,0.2187517099788759,1.0050622304863859,0.9815840123067597,,0.6546176913489867,1.5431145544945908
ratio_雇员_500m,-0.20876606009629356,0.37480782679849617,0.8115850755714071,0.5775308916578317,,0.38930608237120207,1.6919086670272123
ratio_退休人士_500m,0.8494334012267555,0.41831225291713287,2.3383215863722375,0.0422935150159601,*,1.0299820609218802,5.3085855072082495
ratio_age_25_44_500m,0.14702764537569674,0.13739320548662345,1.1583859866030028,0.28456389473865285,,0.8849155720149908,1.5163684947963383
ratio_age_65plus_500m,-0.7601141004748433,0.39754958530051127,0.4676130690926589,0.05587642203506426,.,0.21452879919096712,1.0192663325897304
log_school_count_500m,0.1601985329590987,0.1751394565988999,1.1737438747062559,0.3603537257525683,,0.8327058653642875,1.6544553613871298
log_higher_ed_count_500m,0.05091632097758039,0.09152711036379046,1.0522348396163979,0.5780073592622869,,0.8794339515632191,1.258989553148898
log_elderly_facility_count_500m,-0.12644965524250157,0.09113126112274038,0.8812185131591165,0.16527253138706055,,0.7370740425546354,1.0535523205279649
log_incident_count_500m,0.2996890998066842,0.09779384980382128,1.3494392014429726,0.002180353141744108,**,1.114062399879894,1.6345459272185885
road_highway,-0.0759428858586357,0.08537650112404153,0.9268691423829001,0.3737313520098886,,0.7840512992451093,1.0957017837082188
road_local,-0.10876252413518207,0.08459703095392308,0.8969433946171013,0.19856378857533186,,0.7598967540952424,1.0587062634648592
