variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.4646730794953743,0.06898818399274721,0.6283404890054637,1.6331560258023714e-11,0.5488720525376907,0.7193147625174698
intersection_degree,0.06840720193567636,0.07112823333488913,1.0708012520567785,0.33617785899354724,0.9314580401673902,1.2309897729803359
dist_to_coast_m,-0.05933131224122793,0.07792695868171633,0.9423944905983007,0.4464356127348893,0.8089095674837886,1.09790687563827
log_incident_count_500m,1.1472800497930828,0.8191649560941922,3.149614454006438,0.16134920381211693,0.6323683235581702,15.68717286955273
log_severe_incident_500m,-0.8636567774090015,0.8125580759459853,0.4216174985953978,0.28783355536168365,0.08575416640842105,2.0729175335367045
work_share,0.17479513933083504,0.21506383509843957,1.1910022021106232,0.4163560553173318,0.7813516476037909,1.8154261909890308
education_share,0.14502087132822636,0.10365919602228321,1.1560636986011297,0.16180819222909837,0.943507322813159,1.416505460962898
retail_share,0.0027480114420709526,0.14610609658645957,1.0027517906865233,0.9849940099171389,0.7530527971769557,1.3352465557454791
food_drink_share,0.20627095835649245,0.20653088801014577,1.229086190054642,0.3179199561224687,0.8199355149316613,1.8424044758067866
recreation_share,0.37022608881728275,0.21199940642467907,1.448061968274194,0.08074939449710712,0.9557176566584004,2.1940407288212485
medical_share,0.16384925671464556,0.0899691265821763,1.1780367205819398,0.0685807110618211,0.987587447806915,1.405212792164585
transport_share,0.29398039141707333,0.29652534357523985,1.3417575934439805,0.3214817970382633,0.7503546766833078,2.3992832929652237
tourism_share,-0.21924398309677287,0.1267701804629342,0.8031257451411499,0.08372676173850903,0.6264329479413715,1.0296568286010628
finance_share,0.03188269333666335,0.09355947517417214,1.0323963912256175,0.733273268530261,0.8594231436412559,1.240183391035821
total_poi_density,0.16123809613462856,0.13597890346316824,1.174964690063305,0.23571781389441016,0.9000719677814504,1.5338129308686268
road_highway,-0.06597142556225064,0.07305535018160614,0.9361576140869041,0.36650813748034616,0.8112654942487365,1.0802765366280704
road_local,-0.10441118814845712,0.07241805288089306,0.90085480043702,0.14936332497857435,0.7816481530912632,1.0382412703988952
