variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.056392500060431366,0.05614484270002836,1.058012872366841,0.31518052901715055,,0.9477624468389503,1.1810884065172793
dist_to_coast_m,0.09292259190349943,0.06594916203842585,1.0973767861320904,0.15883417011264056,,0.9643145261066606,1.2487998242685379
work_density,0.025102237959535815,0.0787360092776131,1.0254199520090197,0.7498666377363845,,0.8787803135600543,1.1965289410256272
education_density,-0.22405979710089097,0.0814161676478112,0.799267339070656,0.00592269588677934,**,0.6813797545880328,0.93755101322511
retail_density,0.41535729202201654,0.1734905482745538,1.5149119099480446,0.0166602706932771,*,1.0782246192189422,2.1284601130373773
food_drink_density,-0.22030926197763998,0.16247676096693567,0.8022706477856124,0.17511723552835678,,0.5834691417081974,1.1031229353689458
recreation_density,0.15248340330937343,0.0692999252847064,1.1647231313847246,0.02778277548406982,*,1.0167950266992227,1.3341725098582011
medical_density,0.07889239095527671,0.10771507381641496,1.0820878733626007,0.4639138606517691,,0.8761402012832731,1.3364461121215196
transport_density,0.05910248479550589,0.10256368656078986,1.0608839596447062,0.5644451565359992,,0.8676886378197326,1.297095209935496
tourism_density,-0.7759183926475993,0.20038048203169287,0.46028086826347386,0.00010784614684754976,***,0.31078182589810277,0.6816951959051822
finance_density,-0.1028981986079692,0.10936123064159606,0.902218815937971,0.3467550921061904,,0.7281514543995613,1.1178976391714324
civic_density,0.09189433047844102,0.07329490535885871,1.096248975855429,0.2099287068196577,,0.9495532349295647,1.2656076277316042
log_population_density_1000m,-0.03475594909696519,0.0984385928710563,0.9658411018898554,0.724034172379197,,0.7963666440164353,1.1713813494184444
median_income_1000m,-0.14929841070889602,0.14133565893392094,0.8613120518057159,0.2908132281171425,,0.6529097926399005,1.1362342224738688
working_pop_ratio_1000m,0.708047521169406,0.3236714068750664,2.0300238082145037,0.028702366908658343,*,1.0764316722697473,3.8283866668733797
ratio_学生_1000m,0.4137771624738483,0.1499230728386332,1.5125200431036714,0.005781377602168374,**,1.127415606756718,2.0291690722390294
ratio_雇员_1000m,-0.22451276757528676,0.21112759135320555,0.7989053765502644,0.2876012649502465,,0.5281775163205695,1.208400170319903
ratio_退休人士_1000m,0.8716509993722921,0.3268003587115606,2.390854896755723,0.007647981533968305,**,1.2600133249916088,4.536608481802276
ratio_age_25_44_1000m,0.19458882597837993,0.09870123527684492,1.2148113849025324,0.04866747638376589,*,1.0011350485163046,1.4740935332110432
ratio_age_65plus_1000m,-0.4784891873962885,0.2886607242314088,0.6197189641127072,0.09739461166213503,.,0.35195068702049626,1.0912085375715184
log_school_count_1000m,0.37969229465713106,0.10176333549812384,1.4618347058725982,0.00019062236899688144,***,1.1975001278665123,1.7845181453975067
log_higher_ed_count_1000m,-0.03307367567934577,0.06142563921210125,0.9674672781542474,0.5902771996616729,,0.8577282723599234,1.0912464523571432
log_elderly_facility_count_1000m,-0.0012759096213163675,0.059898014992166286,0.9987249040052897,0.9830052530941844,,0.8880954802145765,1.1231353566165843
log_incident_count_500m,0.14813652087337437,0.058517516543193177,1.159671204882237,0.011357898455373347,*,1.0340076644112082,1.3006067070100549
road_highway,-0.07114524761570509,0.055144938402001034,0.9313266093336299,0.196998548871668,,0.8359141798208112,1.0376295488118257
road_local,-0.050901081862642805,0.05297918120457629,0.950372674977782,0.33666522548461275,,0.8566376370702157,1.054364391965645
