variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.09503499213277149,0.05911050085911202,1.099697335208011,0.1078896303291039,,0.9793936830498493,1.234778465486639
dist_to_coast_m,0.05419701076798494,0.06580800982946766,1.0556925644718822,0.41018817642883765,,0.9279414057938029,1.201031426901181
work_density,0.14277238704052028,0.07981792857288492,1.153467227695166,0.07365898801296451,.,0.9864222674122941,1.3488002950876918
education_density,-0.04426686781604043,0.07237612211848095,0.9566986113337134,0.5407875200679817,,0.830170591677916,1.1025110285802038
retail_density,0.4680133355270873,0.18356861975964786,1.5968186969640539,0.01078688495102783,*,1.1142915711628165,2.2882969026797086
food_drink_density,-0.21747435971032741,0.1512178358009689,0.8045482335051279,0.1503906933717636,,0.5981813453676815,1.0821097398788824
recreation_density,0.09141437541332284,0.07232894650759666,1.095722951850877,0.20627674182139422,,0.9508962103811903,1.2626076054415083
medical_density,0.15001848746087362,0.11435046377108585,1.161855722291938,0.18954763900965987,,0.9285710112931276,1.453748504966398
transport_density,0.020223907325972814,0.09335493809380263,1.0204297961563011,0.8284931386765577,,0.8498021074756342,1.225316999950422
tourism_density,-0.420823742847078,0.14000838651992786,0.6565058050561499,0.0026496694568734834,**,0.49895459446535595,0.8638057988708415
finance_density,-0.12867163674740129,0.10456241887183039,0.879262635687599,0.21848279738326726,,0.7163302482868283,1.0792546934395857
civic_density,0.04383009645383223,0.07107491116898225,1.0448048237626764,0.5374493405779017,,0.9089395129414292,1.2009788376623252
log_population_density_500m,0.13016464875981767,0.07675504817278726,1.1390159054428,0.08991527709388783,.,0.9799289150037256,1.3239299432722105
median_income_500m,-0.01444827400711858,0.11753027830374965,0.9856556014284288,0.9021606636025601,,0.7828551298309894,1.2409920144956812
working_pop_ratio_500m,0.41405536318390673,0.308391045267055,1.5129408857902933,0.17939150229028,,0.82663578541689,2.7690431073480943
ratio_学生_500m,0.09992711902138149,0.14206441974088263,1.1050903750726597,0.48181086493914216,,0.8365080428895582,1.4599079440524476
ratio_雇员_500m,-0.4137986935872752,0.23914487721349903,0.6611340283904094,0.0835719760103924,.,0.4137378770399291,1.0564616578567376
ratio_退休人士_500m,0.6966958273648074,0.2853116490643785,2.0071099014130054,0.014611141710714393,*,1.1473844895665422,3.511020231650512
ratio_age_25_44_500m,0.2978440263401398,0.09487219030134178,1.3469516825109522,0.0016928034779113688,**,1.1183949010606133,1.6222166546883756
ratio_age_65plus_500m,-0.5504823183291953,0.2675156051501385,0.5766716040093238,0.03961339057455125,*,0.34136161657518593,0.9741872627833692
log_incident_count_500m,0.16657243498270885,0.06203650975964286,1.1812490965294258,0.007251439417302419,**,1.0460078557102863,1.3339760504036366
road_highway,-0.04502698426516862,0.058123850742925705,0.9559716852916015,0.4385328437906001,,0.853039238705568,1.0713245318773632
road_local,-0.035579473224495686,0.056986421018347506,0.9650460358620507,0.5323977394562122,,0.8630584525191887,1.0790854879117846
