variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.2922252015727662,0.05393983695576577,0.7466003814596047,6.03997275581956e-08,0.6716974372700626,0.8298559718510796
intersection_degree,0.13109524507135112,0.055017726136233826,1.1400763627955028,0.01718236820416028,1.0235331370910818,1.2698896263378712
dist_to_coast_m,0.04939063685638844,0.0627862208572292,1.0506306856571095,0.43148812202839415,0.928977875333717,1.188214344984051
log_population_density_500m,0.18244915742666887,0.06695016682410215,1.2001531305288256,0.006427254076636904,1.0525616192342702,1.3684401087757652
median_income_500m,-0.03622043082464059,0.11197410076068512,0.9644276804618417,0.746338184734864,0.7743822468544208,1.201113215881698
working_pop_ratio_500m,0.32017399187745915,0.28913947113277305,1.3773673942273978,0.26814951255569197,0.7815005920472982,2.4275617420977627
ratio_学生_500m,0.10329962812333439,0.13629842583217613,1.1088235940401345,0.4485150180215678,0.8488733438808281,1.4483783376671642
ratio_雇员_500m,-0.32269656991706164,0.23128082588883422,0.724193563146032,0.1629378603988204,0.46024009102071756,1.1395276663947507
ratio_退休人士_500m,0.8463115520142517,0.26966279704794155,2.331033081694979,0.0016986895424895086,1.3740635846953881,3.954486013950346
ratio_age_25_44_500m,0.25469032433583416,0.09287210052769934,1.2900620581839792,0.006099626564054208,1.0753659339195507,1.5476221270092694
ratio_age_65plus_500m,-0.7046249001343068,0.24558338278273012,0.49429394908084545,0.004115270860736955,0.30545025947924476,0.7998896727555058
log_incident_count_500m,0.1947188512376795,0.05677379362082933,1.214969351337445,0.0006041794630027791,1.0870224006939482,1.3579761776270363
road_highway,-0.033801297685581065,0.057573554980441186,0.9667635837151761,0.5571381391359362,0.8636000992226704,1.082250717246415
road_local,-0.028153199255536106,0.05618203459215186,0.9722394090377615,0.6162959653686173,0.8708635381200405,1.0854162875238003
