variable,coef,se,OR,p,ci_95_low,ci_95_high,sig
const,-0.28785433451814757,0.053580552208529496,0.7498708145774184,7.771019442311437e-08,0.6751150103993061,0.8329043642836755,***
intersection_degree,0.11054570527454283,0.054245339739881715,1.116887395530609,0.04156154366111534,1.0042337765999543,1.2421783486695797,*
dist_to_coast_m,0.11459678660767283,0.06017372497304327,1.1214211743628322,0.056853903386956915,0.9966618696478134,1.261797494825102,.
log_population_density_500m,0.19172157846598264,0.06519134137278151,1.2113332087599564,0.003272542887276204,1.066035416979706,1.376434703081376,**
log_median_income_500m,0.15917633199976033,0.12101006321892283,1.172544685602059,0.18837635260441543,0.9249612891533934,1.4863984642990042,
working_pop_ratio_500m,-0.09369663924844104,0.139513062696068,0.9105589481935225,0.5018399012287582,0.6927111053313173,1.1969168557485947,
ratio_age_0_14_500m,0.0020423088612929333,0.11729170002556638,1.0020443957945142,0.986107760644997,0.7962441467136704,1.2610365492636586,
ratio_age_65plus_500m,-0.07841296876467678,0.12829474287685047,0.9245825239892802,0.5410711979570662,0.7190167215875902,1.1889192810132025,
log_incident_count_500m,0.21589935656754689,0.05542030279988515,1.2409774764826378,9.792658563766698e-05,1.1132409803292926,1.3833708283732802,***
road_highway,-0.04371244722980666,0.057185188316928724,0.9572291718018905,0.4446279786571419,0.8557342417149549,1.070761975718331,
road_local,-0.03810692083774443,0.0556109351747917,0.9626100123197546,0.4931915378413819,0.8632038941265823,1.0734636881542574,
