variable,coef,se,OR,p,ci_95_low,ci_95_high,sig
const,-0.2920842328945394,0.05398093424672339,0.7467056361471756,6.271659761223766e-08,0.6717380211037179,0.8300398213842776,***
intersection_degree,0.08112484086681515,0.05864120028389588,1.08450627881988,0.1665390920740868,0.9667533225370494,1.2166018376985395,
dist_to_coast_m,0.09319374653357267,0.06442664574385018,1.0976743852744544,0.14803438675004202,0.9674587611467373,1.2454164502675915,
work_density,0.1046111230496412,0.07865548077201674,1.1102787645736965,0.18352106269915103,0.9516541297748665,1.2953434409567675,
education_density,-0.07240630850491163,0.07012392318754031,0.9301528899928444,0.30181552801528144,0.8107064929514741,1.067198062781307,
retail_density,0.4193739288738083,0.1801844966012896,1.5210089976491217,0.019940287921421506,1.068453542371655,2.1652493807024698,*
food_drink_density,-0.18387397886851667,0.14968159113924703,0.8320406519243907,0.21928403308017097,0.6204874516536434,1.1157222351713292,
recreation_density,0.11475635533480674,0.07119837049226134,1.1216001323898788,0.10700907047415378,0.9755123577990412,1.2895652699011149,
medical_density,0.12165310509553834,0.11196870180847082,1.129362263806344,0.2772613533922226,0.9068252183677052,1.4065104245839455,
transport_density,0.03711764414919829,0.09285036664086273,1.0378151065319157,0.6893350277184186,0.8651355540298279,1.2449611975012147,
tourism_density,-0.4187309655976214,0.13546052428227434,0.657881164127221,0.001993721470403512,0.5044767158431189,0.8579338005522161,**
finance_density,-0.11530426689631955,0.10452249728410562,0.8910949719531569,0.269960892210232,0.7260267917704504,1.0936927645657109,
civic_density,0.05264874433773832,0.06926135311424177,1.0540593357764854,0.4471672860679162,0.9202558886588643,1.2073175483361938,
log_population_density_500m,0.0957891309383413,0.07760828585929885,1.100526972434367,0.217104461470912,0.9452336727103522,1.2813335496001623,
log_median_income_500m,0.1545680942008904,0.12567418427786434,1.1671537517536568,0.21873033760562055,0.9123301872720694,1.4931522591681992,
working_pop_ratio_500m,-0.06929817460008564,0.1441964579932837,0.9330484272546442,0.6308138455310266,0.7033341132693922,1.237789197449199,
ratio_age_0_14_500m,-0.011247320254207405,0.11989190871148472,0.9888156943823794,0.9252583631821385,0.7817381341534221,1.2507468098838004,
ratio_age_65plus_500m,-0.10817235326939936,0.13371069638843658,0.8974729007110265,0.41851342600370867,0.690564901723931,1.1663749569373043,
log_incident_count_500m,0.17952931554973472,0.06055372152660786,1.1966539841226695,0.0030288558832643887,1.0627331375866749,1.3474509329486943,**
road_highway,-0.053049479867486884,0.05768615397909419,0.9483330879258733,0.3577701123999254,0.8469493870483075,1.0618528797680409,
road_local,-0.04333225780665141,0.05633434245128886,0.9575931693981788,0.44177583800451614,0.857488450350998,1.0693842904854258,
