variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.0897571601757442,0.05926467786302233,1.0939086068742132,0.12989562905270663,,0.9739438669818984,1.2286499055655766
dist_to_coast_m,0.05814958145872756,0.0662278803138768,1.0598735212811288,0.3799314067779196,,0.9308500631188557,1.2067806896301696
work_density,0.1452451546710663,0.08018362284198512,1.1563230135109082,0.07007791377643631,.,0.9881559534205651,1.3531091999664122
education_density,-0.18364976163983715,0.12036084368774778,0.8322272306898191,0.1270530858580424,,0.6573379460020277,1.053647013251094
retail_density,0.45039567752309906,0.18434038696545782,1.568932854155392,0.014554331634633143,*,1.0931774190929515,2.251739066189842
food_drink_density,-0.21258989640611664,0.1520638304939932,0.8084876329219238,0.1621038621510641,,0.6001143826564297,1.0892127758949521
recreation_density,0.08332191920533526,0.07363487368854411,1.086891643530088,0.25782151255152164,,0.9408209505449093,1.2556410909975222
medical_density,0.17662306490639101,0.1162890480044315,1.1931812564642548,0.1288057901492249,,0.9499903339941679,1.4986273647562796
transport_density,0.01282337925761369,0.09353243082761983,1.0129059513590393,0.8909510511302854,,0.843242933489925,1.2167056794088376
tourism_density,-0.4364847526034553,0.14064084609406322,0.6463043522698387,0.0019121918437381585,**,0.4905928059973369,0.8514379148176976
finance_density,-0.14197793885372656,0.10512100401322128,0.867640397416498,0.17681899443371774,,0.7060882094571932,1.0661555442311876
civic_density,0.05163598481064043,0.07805753674512113,1.05299236752438,0.5082841236881077,,0.9036105786684083,1.2270694392473296
log_population_density_500m,0.11487882519827979,0.07902846364641884,1.1217375030166732,0.14604652949837563,,0.9607731408921192,1.3096692362837077
median_income_500m,-0.01346904703257191,0.11806789505166271,0.986621254700664,0.9091753058506356,,0.7827968078470429,1.2435174626022714
working_pop_ratio_500m,0.419978950810761,0.3110302352102904,1.5219295198989993,0.17692510807767292,,0.8272566362087516,2.799940625626491
ratio_学生_500m,0.10719273555456485,0.14314569397517704,1.113148777152466,0.45395569369616917,,0.8408240764699321,1.4736735480722651
ratio_雇员_500m,-0.4292284109083053,0.24029361350301598,0.6510112141348722,0.07405613247879887,.,0.40648677133130634,1.0426307344302976
ratio_退休人士_500m,0.731260957665883,0.28721725777002016,2.0776988468711677,0.010895886391619791,*,1.1833094510882918,3.6481010899723505
ratio_age_25_44_500m,0.31232391151227334,0.0959697124020224,1.3665972779374023,0.0011363182674989005,**,1.1322686502926782,1.649421380326275
ratio_age_65plus_500m,-0.5987985857126414,0.27036252338068656,0.5494713824697031,0.026773879321027375,*,0.3234505191225794,0.9334311812891145
log_school_count_500m,0.15646501046686476,0.1215940106974117,1.1693698458982535,0.1981702074216397,,0.9214016363896631,1.4840714217245186
log_higher_ed_count_500m,0.09229434687726003,0.062098586426233254,1.0966875811417647,0.1372116322055527,,0.9710096403035032,1.2386320389719776
log_elderly_facility_count_500m,-0.0416896859357226,0.06256922647127931,0.9591673775230783,0.5052213027135164,,0.8484659117631902,1.0843123398943046
log_incident_count_500m,0.15807254697408493,0.0627003312826681,1.1712511623532815,0.011699527210044062,*,1.0358060311209158,1.324407508835765
road_highway,-0.04847214312089439,0.05823299254425238,0.9526838777358022,0.40519289062383923,,0.8499236062747716,1.0678684109925816
road_local,-0.035428253844998876,0.0570933669133111,0.9651919805593349,0.534907677272568,,0.8630080560594257,1.079474928182945
