variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.13024361740496765,0.05500240178969943,1.1391058555372287,0.017886355259669962,*,1.0226925558626478,1.2687705045674258
dist_to_coast_m,0.17089551079910645,0.06428154117155174,1.1863667800283022,0.007847835879723604,**,1.0459271219242392,1.3456636769924688
work_density,-0.22091141684801738,0.0729648176518093,0.8017877020263506,0.0024646909845862674,**,0.6949450790805076,0.9250565814082438
education_density,-0.18956610662465073,0.07671295080874953,0.8273180238876191,0.013469454318687414,*,0.7118247822439902,0.961549990563136
retail_density,-0.10101888848099097,0.15193880726096878,0.9039159591252045,0.5061364505019481,,0.6711121947396655,1.2174775954983053
food_drink_density,0.3084787979478426,0.1496674853125842,1.361352645771809,0.03929404637938153,*,1.0152455726576122,1.8254509805923738
recreation_density,0.004129474922658579,0.06726905086893466,1.0041380129527087,0.9510506537558013,,0.8801016517925198,1.1456553308393458
medical_density,-0.15866511231701852,0.09912024809802285,0.8532820647803867,0.10943593417027649,,0.7026187881695483,1.0362522243003063
transport_density,0.01997171366630643,0.09858478051115292,1.0201724826793535,0.8394600819392577,,0.8409236094463294,1.2376295334381142
tourism_density,0.17496860563419628,0.11332688940307777,1.1912088187799152,0.12260567356430904,,0.9539422942261963,1.4874887700519297
finance_density,-0.10107312251614171,0.10564973617837371,0.9038669374446378,0.33872816072612255,,0.7348075833334157,1.111822277199948
civic_density,-0.04519966606341421,0.07165951134749242,0.9558066206341546,0.5282000831583695,,0.8305623244074044,1.0999370778103865
log_population_density_1000m,-0.05883734416461162,0.09055545917394896,0.9428601183853986,0.5158613220621386,,0.7895232125419676,1.125977284416414
median_income_1000m,0.14210758991811584,0.13387277660056465,1.1527006608353603,0.28845717689577377,,0.8866694274455179,1.4985503868316474
working_pop_ratio_1000m,-0.23089072720622975,0.3088876239697883,0.7938262049032351,0.45476721728641045,,0.43330627425076934,1.4543062979659913
ratio_学生_1000m,-0.005114892179354323,0.14232559427987426,0.9948981666073999,0.9713318239763181,,0.7527116518664213,1.3150086882067062
ratio_雇员_1000m,0.12187843950487699,0.203589792200221,1.129616776659163,0.5494082377339581,,0.7579350726010905,1.6835664534308046
ratio_退休人士_1000m,0.2033610863058107,0.31401031842474963,1.2255149050135306,0.5172272066926442,,0.6622586179307262,2.267825199622278
ratio_age_25_44_1000m,-0.11239743674678951,0.09517371084894438,0.89368900205963,0.237614059156674,,0.7416054542802396,1.0769608392072725
ratio_age_65plus_1000m,-0.38418369663526514,0.27730772362784256,0.6810063171197013,0.16592845383724364,,0.3954595253468956,1.1727359545837772
log_school_count_1000m,0.310694255255292,0.09727627878548256,1.3643720078377939,0.001403469954792079,**,1.1275337763931914,1.6509580597452462
log_higher_ed_count_1000m,0.07784384692701128,0.05961750908930909,1.0809538512248977,0.19164737773219565,,0.9617444857853461,1.2149393583720842
log_elderly_facility_count_1000m,-0.0032546772167731785,0.058290346460808044,0.9967506135037006,0.9554727642482521,,0.8891371718920376,1.1173886515236588
log_incident_count_500m,0.005479822683683268,0.055837286992648144,1.005494864374721,0.9218218174190598,,0.9012602117260176,1.1217847067138562
road_highway,0.06165525064931993,0.05245767547840802,1.0635956076203628,0.23986141361828506,,0.95967384859868,1.178770910764281
road_local,-0.020933926284457255,0.051593422989959316,0.9792836673423314,0.6849277969354745,,0.8850978851999303,1.083492026316189
