variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.10307001157913796,0.05312148173750431,0.9020638163584108,0.05234689852552484,0.8128667225426648,1.0010486420673854
intersection_degree,0.12403733511718687,0.05424600451489719,1.1320581357333508,0.022220881654298273,1.0178730105274223,1.2590525629675722
dist_to_coast_m,0.14408671077882595,0.06336834351985435,1.1549842537671908,0.022978231370979547,1.0200837762276378,1.3077245786452614
log_population_density_500m,-0.17037187749579136,0.065681684276325,0.8433511349662851,0.009489342479505695,0.7414793411536862,0.9592190872671966
median_income_500m,0.009021613757492762,0.11124680732979461,1.0090624311688579,0.9353660165802233,0.8113772807942334,1.2549118814366025
working_pop_ratio_500m,-0.9832387834666948,0.2886122331114789,0.37409751380001943,0.0006573375433806773,0.2124775888605197,0.6586527576008253
ratio_学生_500m,0.11727577314029158,0.13169629339177144,1.12442947438476,0.37319655603062807,0.8686204965733008,1.4555742673043093
ratio_雇员_500m,0.9246435409392859,0.2382709185625596,2.520969477765932,0.00010418216338546939,1.5803281898383852,4.021498286680168
ratio_退休人士_500m,0.16380128826116114,0.26324893514563313,1.177980213337599,0.533790883552123,0.7031629479525631,1.9734222160814257
ratio_age_25_44_500m,-0.026469349463173638,0.09124940891131679,0.973877893258314,0.7717573756645582,0.8143881442600099,1.1646021097704535
ratio_age_65plus_500m,-0.08207090656582167,0.24076345967120544,0.9212066367814734,0.7331956151779937,0.5746654190122231,1.4767230454007592
log_incident_count_500m,-0.04731887498834799,0.05502232731754027,0.9537832114838296,0.3897923135718253,0.856275904416037,1.062394036567929
road_highway,0.10911140270177104,0.05597844337635381,1.1152865893603419,0.05127533912768718,0.9993938374748962,1.244618617571042
road_local,-0.05694529973436917,0.055506069712543044,0.9446457403262257,0.3049249403754032,0.847268870267218,1.053214163804986
