variable,coef,se,OR,p,ci_95_low,ci_95_high,sig
const,-0.10086985865235659,0.052802430525705525,0.9040506796041284,0.05609124543235265,0.8151667198058309,1.0026263480032227,.
intersection_degree,0.1108966476892154,0.05363186210163293,1.117279427476409,0.03866465181546203,1.0057949239557393,1.2411211165716176,*
dist_to_coast_m,0.13298016430895027,0.06038411184155783,1.142227341237536,0.02764852613875795,1.0147348076447031,1.2857381940990729,*
log_population_density_500m,-0.09487427597237184,0.06361026088697996,0.9094872716834858,0.13583203701202787,0.8028797017246975,1.030250354539292,
log_median_income_500m,-0.04293216487313882,0.11971727439892098,0.9579763723117122,0.7198846580641258,0.7576164510196008,1.211323656808721,
working_pop_ratio_500m,-0.1203857796175931,0.1380014872019775,0.8865783468801312,0.3830167482267113,0.676468974282263,1.1619471033252908,
ratio_age_0_14_500m,-0.09051078110027266,0.11543185254185226,0.91346448569565,0.4329780526716638,0.7285076065009531,1.1453790724779844,
ratio_age_65plus_500m,-0.09427589558395491,0.1261671511542466,0.91003165388795,0.454924665301102,0.7106583309638447,1.165338637422054,
log_incident_count_500m,-0.021012487780832114,0.05390117848680147,0.979206736373995,0.696659632964836,0.8810342322997573,1.0883184755004836,
road_highway,0.10384485935324876,0.05554181536629083,1.109428324135957,0.06152967445443851,0.9949954658538996,1.2370219248575425,.
road_local,-0.06604129206094486,0.05494797165101412,0.9360922103169748,0.229407034980447,0.8405159777513722,1.0425365482764481,
