variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.10362449091137317,0.05342523562154048,0.9015637792588127,0.05242626315102707,0.8119325955035778,1.00108956405095
intersection_degree,0.13354166294668646,0.05838418848116168,1.1428688804284615,0.022178809400252804,1.0192923923109658,1.281427476261713
dist_to_coast_m,0.1616020361446907,0.0658916029420283,1.175392384547276,0.014185014562582839,1.032986885364011,1.3374296200913458
work_density,-0.13172314251876494,0.07818953630895475,0.8765836502288707,0.09205330349868247,0.7520333303923002,1.0217617554899248
education_density,-0.1072641944221636,0.07083461726740987,0.898288318874528,0.12995215396869178,0.7818440020031339,1.0320753267391458
retail_density,-0.2584527112395153,0.17762754308145895,0.7722455487205292,0.14566203606266015,0.5451999364736185,1.0938430979577498
food_drink_density,0.2679648192629124,0.1434749117200556,1.307301147387953,0.061807080584971245,0.986841334580851,1.7318247929772328
recreation_density,0.05246970945508371,0.07276801642554359,1.0538706392791253,0.47087595202880106,0.9137889861391333,1.2154264728306605
medical_density,-0.003398690751893301,0.11120655448875115,0.9966070782599737,0.975618876034965,0.801425279143411,1.2393241070452294
transport_density,0.1575231440760258,0.09292594288743028,1.170607850305263,0.09004751616841444,0.9756886945172913,1.4044671695968123
tourism_density,0.13456961857982203,0.1356571111693459,1.1440443029696394,0.32120556489364294,0.8769385834708294,1.4925074478728595
finance_density,-0.1497016225786431,0.10430722295878338,0.8609648305694378,0.1512303971532634,0.7017740593233092,1.0562665143140608
civic_density,-0.12636831657545883,0.07070443781386042,0.8812901932134908,0.07389295552654904,0.7672450672057629,1.0122872571639234
log_population_density_500m,-0.15748786000113246,0.07555407127270618,0.854287184590981,0.03712024474651263,0.7367005050800227,0.9906421791812277
median_income_500m,0.07395190609516378,0.11712844781440986,1.0767550188975092,0.5277957358835998,0.8558844916377656,1.3546236461212415
working_pop_ratio_500m,-1.1254384423937578,0.31015879926072276,0.324510157153115,0.0002849758065988877,0.17669155583453144,0.5959925000273211
ratio_学生_500m,0.14579369619182012,0.13756030995439394,1.1569574786945613,0.28921151697602154,0.8835348776492341,1.5149946440922333
ratio_雇员_500m,1.058457974417522,0.2456889025577301,2.881923561267135,1.6464593511576617e-05,1.780524039883366,4.664628630080558
ratio_退休人士_500m,0.11790114339635753,0.27817414367709475,1.1251328790543387,0.6716829909481077,0.6522546810549533,1.940843097487022
ratio_age_25_44_500m,-0.02714885278522569,0.09275194367392668,0.9732163647754265,0.7697485122029936,0.811441760443933,1.1672434656906467
ratio_age_65plus_500m,0.043209837948895116,0.26206868713897236,1.044156975622168,0.8690385763475703,0.6247243360617699,1.7451918018968164
log_incident_count_500m,0.014995497410671792,0.059788288028287194,1.0151084939887571,0.8019610499869112,0.9028584012348234,1.1413143557824803
road_highway,0.10811144463724746,0.05672483208128908,1.1141719069517704,0.05666412547398938,0.9969354790177168,1.2451949643357847
road_local,-0.051113839321851845,0.05621905055038261,0.9501704976102862,0.3632494592740576,0.8510340168588016,1.060855332036357
