variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.1852295832783695,0.044755020215484276,0.8309134981074183,3.492119414466522e-05,0.761131282467887,0.9070935031056698
intersection_degree,0.17890262563279807,0.05052459644066712,1.195904288074771,0.0003987622269480109,1.083151033353676,1.3203948684861135
dist_to_coast_m,0.13793653215856141,0.04762235272852735,1.147902693056048,0.0037739136650540746,1.0456061036898021,1.2602074414785949
work_density,-0.12527810850872467,0.06369010838115745,0.8822515068119713,0.04918381658346356,0.7787145582934388,0.999554603136989
education_density,0.0036770776336357675,0.06213756185470588,1.0036838463774536,0.9528116014037563,0.8885960411880679,1.1336774155916272
retail_density,0.04185664377922821,0.12807169079690722,1.042744984055379,0.7438025326654742,0.8112622830516768,1.340278137524842
food_drink_density,0.046660209843677865,0.1160725252894963,1.0477659280381881,0.6876900200376838,0.8345672602030301,1.3154283570753234
recreation_density,0.09011123388218022,0.063746939648754,1.094295999727916,0.15748601771524562,0.9657669100503944,1.23993038336552
medical_density,-0.012979296116497079,0.08760528063522412,0.9871045717067852,0.8822192216015825,0.8313655857423925,1.1720180053091067
transport_density,0.09591246628050143,0.08361781107506376,1.1006627146758043,0.25136759899095096,0.9342806132487353,1.296675104137029
tourism_density,0.05746690487704618,0.06614122184358236,1.0591502173680187,0.38492831829722784,0.9303728214045268,1.20575231470886
finance_density,-0.049552688945002206,0.09658819413214699,0.9516550151167298,0.6079299900531285,0.787520757858767,1.1499979635574773
civic_density,-0.1063589579602112,0.06130596361164104,0.8991018503777548,0.0827607104713552,0.7973044751256332,1.0138964004000146
log_incident_count_500m,0.019766062732016126,0.04730201751495424,1.0199627048263982,0.6760426519602538,0.9296511306026891,1.1190476566863792
road_highway,0.03295816785014371,0.04730451950625832,1.033507304504571,0.485975882820016,0.9419918178458146,1.1339136160513203
road_local,-0.06738189034752116,0.04696084687913421,0.934838127502203,0.15132912282562636,0.8526337844501757,1.0249679763691013
