variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.10234083481511835,0.05931472671387196,1.1077609708975602,0.08445782407918138,.,0.9861803507998471,1.2443305807590175
dist_to_coast_m,0.16270977047012813,0.06747492461153565,1.176695128451353,0.01589093292706869,*,1.0309275368524242,1.3430734710497418
work_density,-0.17660707883053692,0.07988746812630648,0.838109030615325,0.02705674601103654,*,0.7166365172563439,0.9801715797127024
education_density,-0.20675153406128505,0.07868919100308662,0.8132216827761927,0.008602870734309266,**,0.6969913013508926,0.9488346612871192
retail_density,-0.24277343584279748,0.1792380589728744,0.7844492217164573,0.17558494467420738,,0.5520702195699413,1.1146418691646092
food_drink_density,0.2909708081825079,0.14592248624189544,1.3377255327404438,0.04615102805223377,*,1.0049750699147542,1.7806507390252948
recreation_density,0.023834357673832227,0.07423731782331086,1.0241206661108406,0.7481677354021521,,0.8854398203652439,1.1845222166794718
medical_density,-0.022678054248357827,0.11328058587529691,0.977577159929775,0.8413291312329851,,0.7829331193311494,1.2206114162506903
transport_density,0.07232278210538147,0.09732180723882856,1.075002279567604,0.45740280728621274,,0.8883158075490836,1.300922364833287
tourism_density,0.1428519578969507,0.13710781402234853,1.1535590137220362,0.29746032191923244,,0.8817212133420289,1.5092053792099989
finance_density,-0.14054293339586732,0.10518615376797855,0.8688863598899133,0.1815050529965827,,0.7070118906412425,1.067822926878939
civic_density,-0.12621536421356006,0.077189839910104,0.8814249989392253,0.1020219578519795,,0.757669919609667,1.025393787779325
log_population_density_500m,-0.16032929438832436,0.07741291279185968,0.8518632289944067,0.03835016311112525,*,0.7319386328347536,0.9914368887761774
median_income_500m,0.05963084832204888,0.11815346859266426,1.0614446401433961,0.6137767388266423,,0.8420213151800314,1.3380477474590449
working_pop_ratio_500m,-1.0201528356456206,0.3153174329955413,0.3605398326238956,0.0012150641836953474,**,0.19433437826314753,0.668893337711195
ratio_学生_500m,0.17207395888531177,0.1386821481757178,1.1877656757908894,0.2146872364689728,,0.905069944490271,1.5587605236206727
ratio_雇员_500m,0.9550390512188117,0.251247190165641,2.598772066154584,0.00014400110075162256,***,1.5881892940039963,4.252400061707236
ratio_退休人士_500m,0.23340671550800618,0.282317330371165,1.262895013876077,0.4083770429181933,,0.7261960552795504,2.1962441195843394
ratio_age_25_44_500m,0.036846065762309144,0.09550874027436573,1.0375332966478634,0.6996541495634194,,0.8604058648618322,1.2511250627351875
ratio_age_65plus_500m,-0.06863289408027833,0.2660803859526797,0.933669372725894,0.7964528674522883,,0.5542438921643938,1.5728427681216535
log_school_count_1000m,0.2601465283371402,0.08936089492350972,1.2971201375983414,0.0036005519494436526,**,1.088716167731001,1.545417163106607
log_higher_ed_count_1000m,0.04589170282682526,0.06319459000266928,1.0469610218980951,0.4677181936514455,,0.9249924593301937,1.1850122347674403
log_elderly_facility_count_1000m,0.007486831594579427,0.06306634775466442,1.0075149279921394,0.9055022814311827,,0.8903655145998903,1.1400782189808443
log_incident_count_500m,0.02120791895900235,0.06017858203094196,1.0214344051388098,0.7245260079632769,,0.9077900933580475,1.1493056066979663
road_highway,0.09816109949563062,0.05713825131479696,1.1031404861702794,0.08580432888861954,.,0.9862653202707375,1.2338656822019725
road_local,-0.042763463330372634,0.05653562976266256,0.9581379980365259,0.44941033058958557,,0.8576378990393422,1.0704149435440578
