variable,coef,se,OR,p,sig,ci_95_low,ci_95_high
intersection_degree,0.13669294066515977,0.058497889933523096,1.1464760582909996,0.01945396911624272,*,1.0222816862878692,1.2857584850290837
dist_to_coast_m,0.16860851540560481,0.06653895438651208,1.183656664859065,0.011277451147637655,*,1.0389308596464757,1.3485431559343881
work_density,-0.12807709442848123,0.07856170974891014,0.8797855499658909,0.10304364950303513,,0.7542299035831759,1.0262422773899291
education_density,0.06362282027811132,0.11393017510102812,1.065690366151073,0.5765460425572735,,0.852416243350881,1.3323255690702747
retail_density,-0.25146767057999725,0.17848312390765778,0.777658598454819,0.15886010465908584,,0.5481016078488082,1.1033590981866492
food_drink_density,0.2488788273570543,0.14441619625134267,1.2825866092441949,0.08482628271697001,.,0.9664005165467454,1.7022221967458455
recreation_density,0.0812781664778329,0.0740142157121415,1.0846725741560739,0.27214220712195825,,0.9382022861802258,1.2540095142129706
medical_density,0.004578077075147655,0.11292567414071251,1.0045885724801462,0.9676621219333511,,0.8051261995360468,1.253465854842691
transport_density,0.16034572089670796,0.09312889662201158,1.1739166483612424,0.0851127856752321,.,0.9780574029152003,1.40899735863374
tourism_density,0.15128195371705125,0.1365533308275052,1.1633246155447248,0.26792234411256466,,0.8901524180302499,1.5203285793762702
finance_density,-0.1505596321019173,0.10499467495987237,0.8602264313676782,0.15157968784674244,,0.7002280613841833,1.0567835738556217
civic_density,-0.12757816989931517,0.07742810922060664,0.8802246060759985,0.09941458126143385,.,0.7562847925847667,1.024475653534717
log_population_density_500m,-0.11504980198388869,0.07801575408479376,0.8913217532098752,0.1402933214694462,,0.7649378578757071,1.038586938227098
median_income_500m,0.06575764754772802,0.11780304281418319,1.0679678611699654,0.5767078843471865,,0.8477781301751512,1.3453465144899543
working_pop_ratio_500m,-1.0791120319477572,0.31212223068665884,0.33989720954540636,0.0005455402444389466,***,0.18435876608932697,0.6266591793133196
ratio_学生_500m,0.16686566879855058,0.13868196708332636,1.1815955294999094,0.22888909855659367,,0.900368651557346,1.5506626012792126
ratio_雇员_500m,1.0592213905384753,0.246235037018909,2.884124508185448,1.695171398662003e-05,***,1.779977489688144,4.6731906593792445
ratio_退休人士_500m,0.09584657311577761,0.2791427113675135,1.1005901909156772,0.7313272927280104,,0.6368168775170797,1.902114738325727
ratio_age_25_44_500m,-0.031882343900358726,0.09365395308591758,0.9686205394898827,0.7335349112539792,,0.8061833411377406,1.1637870713100864
ratio_age_65plus_500m,0.11827568546430786,0.26464700668404423,1.125554367577243,0.6549337908262172,,0.67003023038565,1.8907693666941447
log_school_count_500m,-0.24411308029675396,0.11823767756491307,0.7833990422577766,0.03896120669847573,*,0.6213511311103908,0.9877089276616567
log_higher_ed_count_500m,0.0031672231178656927,0.06141107263568306,1.003172244068429,0.9588680270135641,,0.8894086464841809,1.1314872586941809
log_elderly_facility_count_500m,0.03188537063616439,0.06208447636168995,1.0323991552636607,0.6075453809443627,,0.9141138041930683,1.1659905045739845
log_incident_count_500m,0.029066384276111062,0.06062113528013986,1.0294929343499675,0.6315999814566788,,0.9141587451066587,1.1593781797195941
road_highway,0.105435891616282,0.05700745758013893,1.1111948653325496,0.06438413243865512,.,0.9937210701453334,1.2425559503944483
road_local,-0.053215283038174965,0.056365747438430175,0.9481758643274726,0.3451150965963736,,0.8490033490172499,1.0589327718598707
