variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.1883869792502886,0.044898244048433844,0.8282941125702395,2.718319058603463e-05,0.7585189192043653,0.9044878374796009
intersection_degree,0.1640389332821924,0.04877871854751554,1.1782601877361154,0.0007712268073537946,1.070828496792544,1.2964700455416682
dist_to_coast_m,0.11835821355228304,0.048993798759871775,1.1256472612602275,0.01570156758578643,1.0225815568791035,1.2391009286826535
log_incident_count_500m,-0.31345934286618177,0.5098506734200945,0.730914095271692,0.538682730142658,0.26907458698693065,1.985454741932893
log_severe_incident_500m,0.32993956550476633,0.5083806555121027,1.3908840685471353,0.5163377149652364,0.5135096181066061,3.767326694427391
work_share,0.17499580256636485,0.11417293304846668,1.1912412164459147,0.12534342427649195,0.9523876361765982,1.4899979607635432
education_share,0.021067669972440178,0.06062948316285625,1.0212911600438739,0.7282290419476273,0.9068609782945628,1.1501604529784577
retail_share,0.05761752936493848,0.08133568817480627,1.0593097633425745,0.4787020228036517,0.9032097967826387,1.2423881790367117
food_drink_share,0.11421419665198343,0.11372054737495674,1.1209922119490114,0.31521432701359076,0.8970191428304672,1.400888207675445
recreation_share,0.3545736122469525,0.10615511607157155,1.4255726779429048,0.0008373428316342929,1.1577860278510528,1.755296238864917
medical_share,0.09287081755644354,0.05680887552914498,1.0973199716362936,0.10209220689789246,0.9816950304537646,1.2265633244525087
transport_share,0.34955327814451087,0.15728373199021128,1.4184337616786584,0.02625374740453625,1.0421409088838904,1.9305972149434447
tourism_share,-0.002761475062525661,0.0634628810358893,0.9972423343024392,0.9652924169486108,0.8806026979578947,1.1293313949993473
finance_share,0.0021087177449647613,0.06069813713489963,1.0021109426538555,0.9722862179417215,0.8897100720766632,1.1287118949239772
total_poi_density,0.17674443667483913,0.082490686721018,1.1933260837722264,0.03214533706361963,1.0151767047607894,1.4027381987126157
road_highway,0.03371115480126745,0.04742354332360241,1.034285815086125,0.47717550658032537,0.9424814984796239,1.1350325168335358
road_local,-0.07018629786013007,0.047176601102270926,0.9322201331117427,0.1368206971961382,0.8498865270304741,1.0225298895080783
