variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.07362008732790268,0.04840677038378539,0.9290245750137658,0.12829411024401338,0.8449334963385322,1.0214847259809696
intersection_degree,0.1016661844587644,0.04955769619844207,1.1070138716075273,0.0402210854908222,1.004543389949932,1.2199370621437933
dist_to_coast_m,0.006144377554730105,0.051410562747560444,1.0061632929637911,0.9048666766356752,0.9097182657982649,1.1128330716976473
log_incident_count_500m,-0.05897457281925707,0.049643959950393064,0.9427307398372589,0.2348528662928403,0.8553224605356627,1.0390715652170683
road_highway,0.10130216361889248,0.05240665630541704,1.1066109688251886,0.053235969835745314,0.9985861177349515,1.2263217108424267
road_local,-0.10060738529111914,0.050920706546019406,0.9042879999685075,0.04818132016743853,0.8183935299380086,0.9991975216971536
ratio_雇员_500m,0.029888435003010784,0.06869871937275623,1.0303395777092046,0.6635149658092069,0.9005396763624325,1.1788482764936268
ratio_学生_500m,0.025904000583862535,0.057439514812128396,1.0262424250708009,0.6520048646362518,0.9169728189435574,1.1485329698524298
log_population_density_500m,0.015930638260477855,0.053977026107422416,1.0160582073971636,0.767888932967684,0.9140551840666178,1.1294441504353379
median_income_500m,-0.01971238207357195,0.07750328387180158,0.9804806365635592,0.7992309379533543,0.8423001812617295,1.1413297777474447
