variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.07376245174495208,0.04844036890251396,0.9288923243858345,0.1278218835282115,0.8447575847012118,1.0214065738256766
intersection_degree,0.11715945612203559,0.051586208932859354,1.1242986917073334,0.023138558684019137,1.0161799875974606,1.2439209230673696
dist_to_coast_m,-0.01072801947170976,0.052665795716056715,0.9893293204978973,0.8385879884288157,0.8922999116630632,1.0969097851557568
log_incident_count_500m,-0.057441719684520595,0.04987070661861974,0.944176915711476,0.24939799487550807,0.8562539257000622,1.0411281296416612
road_highway,0.10204401615068032,0.05261619245808583,1.107432215558436,0.05245225164512379,0.9989168659464357,1.2277359146345908
road_local,-0.09685253319940407,0.05101250021145302,0.9076898503824078,0.057616571779117685,0.821324470687708,1.003136876948732
ratio_雇员_500m,0.04654318969927722,0.06989140094464588,1.0476433254916149,0.5054521028058976,0.9135255299520635,1.2014514115491912
ratio_学生_500m,0.031173803127653246,0.05850336753811993,1.031664794873443,0.5941340615694399,0.9198977124433256,1.157011518328823
log_population_density_500m,-0.0017429751287125503,0.0562399103632966,0.998258542970306,0.9752760923060307,0.8940682187075166,1.1145906965061216
median_income_500m,-0.031177189655597688,0.07786680198333217,0.9693038072511353,0.688868335076,0.832105434906212,1.1291235837889273
work_density,-0.07798449549817378,0.0538120866284465,0.9249787677673563,0.1472816360829503,0.832388345792964,1.0278684524413353
education_density,-0.016688492157807235,0.053290661396322665,0.9834499893083527,0.7541592684292177,0.8859115283533244,1.0917273909600431
