variable,coef,se,t,p
const,0.14086956521739127,0.015804263586512678,8.913390013161324,1.2372856390773354e-18
intersection_degree,0.05610319700964371,0.01673961061667271,3.3515234191746806,0.0008211642593245571
dist_to_coast_m,0.005096516146417804,0.01719372771420369,0.29641717207185886,0.7669474453312153
log_incident_count_500m,-0.017230599287930887,0.016091165567839762,-1.070811136414408,0.2844052063796494
road_highway,0.054842329564112856,0.017145149456602577,3.198708165416029,0.001405684780335364
road_local,-0.022276614440613445,0.016632871644893136,-1.339312592329968,0.18064660300333998
ratio_雇员_500m,0.03842791132930216,0.022784060127995675,1.6866138481650277,0.09185971162260605
ratio_学生_500m,0.03491397398125044,0.019064396313548733,1.8313705510012763,0.06721884209816269
log_population_density_500m,-0.00015619107698541107,0.018351391163884286,-0.008511130060417251,0.993210173763259
median_income_500m,-0.02176011157801011,0.02538840470038037,-0.8570885738907454,0.39151582321157874
work_density,-0.028190603104081426,0.017436568581871884,-1.6167517692322841,0.10611599891872263
education_density,-0.024042514981261143,0.017397813680755096,-1.38192737446408,0.16717418149185678
