variable,coef,se,OR,p,ci_95_low,ci_95_high
const,0.06487793675990673,0.08558729746770713,1.0670287714456912,0.448431640818549,0.9022414008608348,1.2619132728852855
intersection_degree,0.08340221193178537,0.08955750806640479,1.0869789165271493,0.35171396593641924,0.9119861240524084,1.2955494977538033
dist_to_coast_m,-0.16571434242653962,0.09499790440850597,0.8472882339241499,0.08108936872717633,0.7033432547027318,1.020692736507048
log_incident_count_500m,-0.08415522090501171,0.08666106309186421,0.9192885522190565,0.3315061684604689,0.7756833435108682,1.0894799396052368
road_highway,0.30659768356162126,0.09641958604295532,1.3587941928508684,0.00147362575564374,1.1248113074948287,1.6414501225430929
road_local,-0.0737883261833786,0.08915531230006407,0.9288682901295201,0.407875529471626,0.7799443263724438,1.1062280617144082
education_density,-0.05651600787833025,0.09496669341116583,0.945051356106936,0.5517672774094933,0.7845454865069103,1.1383942435971075
work_density,-0.05700551623592509,0.09161557295664828,0.9445888587771547,0.5337938120951725,0.78932901759835,1.1303880792837493
ratio_学生_500m,0.19878400662298765,0.101304669664088,1.2199184431370984,0.04973462752833478,1.000226879814708,1.4878634417240726
ratio_雇员_500m,0.3301283643377642,0.12786103724507422,1.3911466906267034,0.009824925150686996,1.0827680065256495,1.787353434141004
log_population_density_500m,0.05198355335279026,0.09760810381316128,1.0533584181566125,0.5943283971818729,0.8699423532848137,1.2754453819977847
median_income_500m,-0.02408197481826206,0.1431161555155421,0.9762056821944474,0.8663718669412134,0.7374259226858884,1.2923027312055229
