variable,coef,se,t,p
const,0.16889842353323586,0.007460621002053566,22.63865480993417,1.4151545729758879e-81
intersection_degree,-0.002195527392707097,0.007807912162290221,-0.2811926347366981,0.7786639865425746
dist_to_coast_m,-0.004317105278906033,0.0081721538620879,-0.5282701906695448,0.5975159915301765
log_incident_count_500m,0.0034421380712857065,0.007636518628359344,0.45074702738271555,0.6523420993219413
road_highway,0.04621382800496897,0.007954197007498689,5.809992883178734,1.036108147090064e-08
road_local,-0.011824856267181138,0.00786847223417206,-1.5028147669921057,0.13343676114349717
education_density,0.002101985077481313,0.008272580999565458,0.2540906009372076,0.7995165576860915
work_density,-0.005082921013836804,0.007902918189695275,-0.6431701419438323,0.5203705550626637
ratio_学生_500m,0.012998057370845091,0.008789547447474297,1.478808487981952,0.1397400518895838
ratio_雇员_500m,0.020967584208628945,0.010955087208995304,1.9139586758754694,0.056122420120169145
log_population_density_500m,0.006513191828978276,0.008461368463243791,0.769756317464675,0.4417611124066436
median_income_500m,0.0108971003228087,0.012357005023951494,0.8818561052364168,0.3782237538031429
