variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.0739018292514569,0.04859055484356756,0.9287628667118036,0.12828258691915903,0.84439125734984,1.0215648907711787
intersection_degree,0.11033634016145745,0.04981319710207104,1.1166535827517134,0.02675991490763694,1.012783492946495,1.231176487922984
dist_to_coast_m,0.010509831408496597,0.051640077478524775,1.010565253676009,0.838727966696749,0.9132873461655501,1.1182046222636897
log_incident_count_500m,-0.06029229583727092,0.04979061130355834,0.9414892999581739,0.22592723064654363,0.8539506327128744,1.038001575243014
ctrl_F_rate,0.17600656440117385,0.04885692082639882,1.1924458863181533,0.00031518363589868876,1.0835546721749845,1.3122800614600256
ratio_雇员_500m,0.03958191655969307,0.06903209736760926,1.0403757193941459,0.5663845600299198,0.9087175180874696,1.1911090255890726
ratio_学生_500m,0.03736387549518751,0.057730900117561504,1.0380706806063678,0.5174976135870408,0.9270120739579618,1.1624344150488748
log_population_density_500m,0.016068830931731608,0.05420343070493565,1.0161986288973808,0.7668832917147452,0.9137759277209172,1.1301016168684939
median_income_500m,-0.02439747014261501,0.07780925277654985,0.975897742445438,0.7538591404778394,0.8378605457079138,1.136676513279944
road_highway,0.11350335969784155,0.05272251192094228,1.1201956524049739,0.031330916597743834,1.0102190982953743,1.2421447008717186
road_local,-0.1011025681318698,0.05111524621835822,0.903840322917971,0.04793618646242572,0.8176765381476488,0.9990837344839513
