variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.07420038276645223,0.04867651100977929,0.9284856226814989,0.12741954279729437,0.8439969953995811,1.021432014835676
intersection_degree,0.13068252611557932,0.05408219552327706,1.1396059287547504,0.01567617754136355,1.024988530621244,1.2670402000165175
dist_to_coast_m,0.0010484304105174314,0.05470578353507066,1.0010489802058042,0.9847095649124713,0.8992673476783756,1.114350546984925
log_incident_count_500m,-0.062262094466682225,0.0541240714810425,0.9396365809662386,0.24999617859040724,0.8450620058867218,1.044795409259324
ctrl_F_rate,0.17776382542401514,0.04906753383036303,1.1945431671912996,0.00029138604898425516,1.085012447326026,1.3151308833369115
ratio_雇员_500m,0.0641783002945602,0.07151788377837785,1.066282500297309,0.36951930054315607,0.9268192169457408,1.2267315455402803
ratio_学生_500m,0.0529862474716399,0.06086412232805289,1.0544151441454703,0.38399106040042497,0.9358431116695024,1.1880103431224995
log_population_density_500m,0.0033676075410479667,0.06919358745703073,1.003373284301902,0.9611827949872295,0.8761203392787711,1.1491092062530546
median_income_500m,-0.05268879372401958,0.08067235042541841,0.9486752002239536,0.513678374451243,0.8099306918791924,1.1111872219977537
work_density,-0.11495866585711305,0.06704046852668799,0.8914029885238532,0.08638827481963836,0.7816423592439656,1.0165765436737892
education_density,-0.03437132764470966,0.06628513264497632,0.9662126565464777,0.6040832959211417,0.8484957631777033,1.1002611187760067
retail_density,-0.14394020642484298,0.14873154363158472,0.865939524131269,0.3331515905038761,0.6469708549488616,1.1590186075877542
food_drink_density,0.17718100190597483,0.12450980734455272,1.1938471621838913,0.15472789933130257,0.9353278022546102,1.5238198236157534
recreation_density,-0.028557745835124392,0.0650456055521237,0.9718461724569143,0.6606311809657364,0.855518866491871,1.103990829322206
medical_density,-0.04480508847850077,0.09947826944711206,0.9561838349174251,0.6524214947773973,0.7867989739130676,1.1620344668349962
transport_density,0.06379026742434894,0.08151116597788176,1.0658688279026964,0.43386471564596674,0.9084898005581598,1.2505108561446516
tourism_density,-0.0015673361982765717,0.11537388295944856,0.9984338914316493,0.9891611961159396,0.7963630160374385,1.2517786681249918
finance_density,0.004978242766165097,0.09280947580741791,1.004990654804851,0.9572224807347177,0.8378398305057164,1.2054884232890288
civic_density,0.02671822218325852,0.06184789928794407,1.0270783540890591,0.665742239398911,0.9098244042794772,1.1594434491715973
road_highway,0.11327028998709997,0.05346352772583982,1.1199345991512788,0.03412039381407141,1.0085178478167274,1.2436601980732267
road_local,-0.09132022280001678,0.051576262045990875,0.9127253886180444,0.07662952239531595,0.8249688124852765,1.0098171257144684
