variable,coef,se,OR,p,ci_95_low,ci_95_high
const,-0.07402148940235267,0.048629446789815796,0.9286517374560308,0.12797058845549095,0.8442258671260987,1.02152052319346
intersection_degree,0.12844393728806383,0.05191882407929361,1.1370576729675057,0.013363299012036735,1.027042222015067,1.2588578385001505
dist_to_coast_m,-0.007920609936547867,0.05290415531312875,0.9921106754400894,0.8809885139802675,0.8943905392934629,1.1005076072246245
log_incident_count_500m,-0.059108037821294264,0.05003048854137734,0.9426049266731598,0.23742783723794747,0.8545606554719409,1.0397202844516944
ctrl_F_rate,0.1788726020611067,0.04895936738646431,1.1958683832956396,0.0002586989849380133,1.086446459978286,1.3163107827648581
ratio_雇员_500m,0.056917272242603706,0.07024999377894835,1.0585682337970093,0.4178192883490117,0.9224033155387709,1.2148337790282147
ratio_学生_500m,0.04188275719415518,0.05879369536968036,1.042772214043343,0.4762368203713264,0.9292728450319072,1.1701341497216784
log_population_density_500m,-0.001731330443561887,0.05647222049437623,0.9982701674444194,0.975542214417588,0.8936716236722434,1.115111301301645
median_income_500m,-0.03684903705573902,0.07818216976780827,0.9638216257173107,0.6374102555069082,0.8268879442607778,1.1234316966984266
work_density,-0.0818651496727533,0.053909401618448746,0.9213962008983246,0.12887100246938818,0.8290062564882081,1.0240826922419513
education_density,-0.02441257390293754,0.053569792052925884,0.9758830028311489,0.6485947177247307,0.8786142168415939,1.0839201289482887
road_highway,0.11392046399190248,0.05292255472041464,1.1206629882789048,0.031351060915209936,1.0102443747046805,1.243150236461679
road_local,-0.09706868075052742,0.051212834448505,0.9074936766460683,0.05803975353826395,0.8208245983459688,1.0033139538119487
