transition,variable,coef,se,pvalue,odds_ratio
F→S,const,-0.019072786133274736,0.07977751624338351,0.8110476558620925,0.9811079485899727
F→S,intersection_degree,-0.004786922434215476,0.08417605999260938,0.9546503618632955,0.995224516619081
F→S,dist_to_coast_m,-0.06734689665035949,0.0822357629238074,0.41281550591340843,0.9348708415169208
F→S,work_density,0.018886150415427277,0.12041296416356273,0.8753671439663475,1.0190656218150358
F→S,education_density,-0.14795985360449143,0.09836029045453329,0.13251337933227106,0.8624657391376985
F→S,retail_density,0.15182622526630543,0.23461379565295506,0.5175461565285785,1.1639579523734869
F→S,food_drink_density,0.10575526899709578,0.20672915086330634,0.6089559231333465,1.111549812516247
F→S,recreation_density,0.30880190000537566,0.10570499847322892,0.0034851167629752467,1.3617925726795033
F→S,medical_density,-0.0035917214257299573,0.15639982961513396,0.9816781949086787,0.9964147210901212
F→S,transport_density,0.1273205358216311,0.14264702657547895,0.3720947041471204,1.1357810179426038
F→S,tourism_density,-1.0079348296528725,0.37114833705804146,0.006613189320469516,0.3649719310268977
F→S,finance_density,-0.12697808309835867,0.17345368694227245,0.4641334351642433,0.8807529757619634
F→S,civic_density,0.1631519070270877,0.10728329776010122,0.12832063933209428,1.1772155034139575
F→S,log_incident_count_500m,1.5570450257599477,1.3002145536295442,0.23110031385145868,4.744779807206484
F→S,log_severe_incident_500m,-1.3222037374105229,1.2791974271925084,0.3013139580936799,0.2665472540967669
F→S,road_highway,-0.046507557575404514,0.07661581515010289,0.5438356865104729,0.9545573464035861
F→S,road_local,-0.1207662575582901,0.07928244780966283,0.127698477263629,0.8862410875403818
N→S,const,-1.0232318733249717,0.11321199248252818,1.592825014837606e-19,0.3594314241856986
N→S,intersection_degree,0.004799828129663105,0.11332970966119331,0.9662174715683175,1.004811365756857
N→S,dist_to_coast_m,-0.19931011469576873,0.11217333801195843,0.0756003775895051,0.8192957782715314
N→S,work_density,-0.015896068088813387,0.17076326039062725,0.9258333821912914,0.9842296076038876
N→S,education_density,-0.16685087640954413,0.14168693027911897,0.2389551321799398,0.8463258090707689
N→S,retail_density,0.9557809668236203,0.3598812882776575,0.007911515091946226,2.600700851113161
N→S,food_drink_density,-1.203217786672859,0.43823776397158565,0.006040364069303984,0.30022659082519554
N→S,recreation_density,0.11856071705786866,0.15106321248157467,0.4325463542392871,1.1258752318583292
N→S,medical_density,0.13293681780011007,0.21650622874369865,0.5392092432124733,1.142177830743053
N→S,transport_density,-0.007830102482876541,0.2017640671354058,0.969043298362936,0.9922004729146927
N→S,tourism_density,-0.5903325030417014,0.4931123672975824,0.23124569777972548,0.5541429998655724
N→S,finance_density,-0.016667849193438496,0.24215446157400689,0.9451237626675569,0.9834702908409817
N→S,civic_density,0.2531127716832574,0.13508755001486555,0.060972572818598414,1.2880285217892031
N→S,log_incident_count_500m,1.6663629506479714,1.4471518927654852,0.24953581610832332,5.292882273197094
N→S,log_severe_incident_500m,-1.506640440362543,1.4327530172334006,0.29299676562963906,0.22165338626790065
N→S,road_highway,-0.20288928786356192,0.1228572636576029,0.09865226989927942,0.8163686183364642
N→S,road_local,-0.09324513409421634,0.1038094566680324,0.36906106425341334,0.9109701630776914
S→S,const,-0.381848671615539,0.08899691235475354,1.7820437292442314e-05,0.6825983418942524
S→S,intersection_degree,-0.16323197053963184,0.09588145628990577,0.08867380772698683,0.8493941311447715
S→S,dist_to_coast_m,-0.10924126143114828,0.08933011613327439,0.2213697418562195,0.8965140971302857
S→S,work_density,0.38261263361450165,0.12159212457220746,0.0016513034796992435,1.4661099983265053
S→S,education_density,-0.23173710711818662,0.11947880380660865,0.05243237325236236,0.7931546106018746
S→S,retail_density,0.15119803507880705,0.2728657390388495,0.5795025625527319,1.1632269950233003
S→S,food_drink_density,-0.4237142047692064,0.24664332728637978,0.08581069056746433,0.6546109398620877
S→S,recreation_density,0.3035299167477588,0.11800071322504385,0.010103351367036793,1.3546321165231638
S→S,medical_density,0.21024494095120433,0.17021816335684145,0.2167747351851188,1.233980275245168
S→S,transport_density,0.0567806374935358,0.15614988859903828,0.7161350221412774,1.0584236064727972
S→S,tourism_density,-1.3179209907339995,0.4001262111081657,0.0009885574061394911,0.267691256450927
S→S,finance_density,0.14562072089177966,0.1808375927406752,0.42067144266452405,1.156757370934899
S→S,civic_density,0.2491942633186664,0.11494502941929939,0.030163029344857574,1.2829912469999272
S→S,log_incident_count_500m,0.5084211930551588,1.3790468282306474,0.7123693886002469,1.6626640960288295
S→S,log_severe_incident_500m,-0.33930216855596074,1.356584683373367,0.8024984216761218,0.7122671918200301
S→S,road_highway,-0.05185689443015862,0.08556768434471096,0.5444924211080826,0.9494647308125596
S→S,road_local,0.011983989825449367,0.08546961542692375,0.8884913436917172,1.0120560855417846
